Customer_ID,Annual_Income,Employment_Type
CUSTB00114,630363.0,Salaried
CUSTB00115,394877.0,Self Employed
CUSTB00116,627743.0,Self Employed
CUSTB00117,209670.0,Salaried
CUSTB00118,691016.0,Salaried
CUSTB00119,760420.0,Salaried
CUSTB00120,292906.0,Salaried
CUSTB00121,495043.0,Self Employed
CUSTB00122,613161.0,Salaried
CUSTB00123,715616.0,Self Employed
CUSTB00124,716438.0,Salaried
CUSTB00125,666687.0,Salaried
CUSTB00126,546146.0,Salaried
CUSTB00127,570333.0,Self Employed
CUSTB00128,760620.0,Self Employed
CUSTB00129,572186.0,Self Employed
CUSTB00130,772483.0,Salaried
CUSTB00131,736460.0,Self Employed
CUSTB00132,515655.0,Salaried
CUSTB00133,266877.0,Self Employed
CUSTB00134,227860.0,Salaried
CUSTB00135,292011.0,Self Employed
CUSTB00136,332998.0,Self Employed
CUSTB00137,518563.0,Salaried
CUSTB00138,692386.0,Salaried
CUSTB00139,400846.0,Self Employed
CUSTB00140,652362.0,Self Employed
CUSTB00141,262741.0,Self Employed
CUSTB00142,354980.0,Salaried
CUSTB00143,611323.0,Salaried
CUSTB00144,290029.0,Self Employed
CUSTB00145,412463.0,Self Employed
CUSTB00146,673782.0,Self Employed
CUSTB00147,277141.0,Salaried
CUSTB00148,509517.0,Salaried
CUSTB00149,591948.0,Salaried
CUSTB00150,664182.0,Salaried
CUSTB00151,706215.0,Salaried
CUSTB00152,486062.0,Salaried
CUSTB00153,571611.0,Salaried
CUSTB00154,672996.0,Salaried
CUSTB00155,670088.0,Self Employed
CUSTB00156,640041.0,Self Employed
CUSTB00157,381925.0,Salaried
CUSTB00158,388660.0,Salaried
CUSTB00159,799360.0,Salaried
CUSTB00160,307120.0,Salaried
CUSTB00161,341310.0,Self Employed
CUSTB00162,564049.0,Self Employed
CUSTB00163,402782.0,Self Employed
CUSTB00164,518053.0,Self Employed
CUSTB00165,691243.0,Self Employed
CUSTB00166,434337.0,Salaried
CUSTB00167,318155.0,Salaried
CUSTB00168,557079.0,Salaried
CUSTB00169,408741.0,Salaried
CUSTB00170,377488.0,Self Employed
CUSTB00171,227877.0,Self Employed
CUSTB00172,302436.0,Self Employed
CUSTB00173,318551.0,Salaried
CUSTB00174,436469.0,Self Employed
CUSTB00175,658163.0,Salaried
CUSTB00176,627833.0,Self Employed
CUSTB00177,756879.0,Self Employed
CUSTB00178,737530.0,Self Employed
CUSTB00179,409320.0,Salaried
CUSTB00180,695582.0,Self Employed
CUSTB00181,701506.0,Salaried
CUSTB00182,652151.0,Salaried
CUSTB00183,721510.0,Salaried
CUSTB00184,569369.0,Self Employed
CUSTB00185,208945.0,Self Employed
CUSTB00186,528026.0,Self Employed
CUSTB00187,306901.0,Self Employed
CUSTB00188,781971.0,Salaried
CUSTB00189,448566.0,Self Employed
CUSTB00190,436456.0,Salaried
CUSTB00191,298845.0,Salaried
CUSTB00192,505252.0,Self Employed
CUSTB00193,367768.0,Salaried
CUSTB00194,371722.0,Salaried
CUSTB00195,299852.0,Self Employed
CUSTB00196,278609.0,Salaried
CUSTB00197,774089.0,Self Employed
CUSTB00198,531333.0,Self Employed
CUSTB00199,267730.0,Salaried
CUSTB00200,726559.0,Self Employed
CUSTB00201,505334.0,Salaried
CUSTB00202,617585.0,Self Employed
CUSTB00203,665691.0,Self Employed
CUSTB00204,782535.0,Self Employed
CUSTB00205,335667.0,Self Employed
CUSTB00206,730442.0,Self Employed
CUSTB00207,412743.0,Salaried
CUSTB00208,574189.0,Self Employed
CUSTB00209,276881.0,Salaried
CUSTB00210,511845.0,Self Employed
CUSTB00211,630442.0,Salaried
CUSTB00212,299715.0,Salaried
CUSTB00213,257131.0,Salaried
CUSTB00214,328401.0,Salaried
CUSTB00215,271460.0,Salaried
CUSTB00216,505244.0,Self Employed
CUSTB00217,658034.0,Salaried
CUSTB00218,711506.0,Salaried
CUSTB00219,696024.0,Salaried
CUSTB00220,487595.0,Self Employed
CUSTB00221,501019.0,Self Employed
CUSTB00222,324102.0,Self Employed
CUSTB00223,352258.0,Self Employed
CUSTB00224,341605.0,Salaried
CUSTB00225,480722.0,Self Employed
CUSTB00226,693521.0,Self Employed
CUSTB00227,492543.0,Self Employed
CUSTB00228,714503.0,Salaried
CUSTB00229,633510.0,Self Employed
CUSTB00230,396077.0,Salaried
CUSTB00231,616577.0,Self Employed
CUSTB00232,446314.0,Salaried
CUSTB00233,385595.0,Self Employed
CUSTB00234,621053.0,Salaried
CUSTB00235,396498.0,Salaried
CUSTB00236,631387.0,Salaried
CUSTB00237,276775.0,Self Employed
CUSTB00238,547842.0,Salaried
CUSTB00239,230586.0,Self Employed
CUSTB00240,449939.0,Self Employed
CUSTB00241,460264.0,Salaried
CUSTB00242,543288.0,Salaried
CUSTB00243,642188.0,Self Employed
CUSTB00244,378542.0,Self Employed
CUSTB00245,500522.0,Salaried
CUSTB00246,451000.0,Self Employed
CUSTB00247,353002.0,Salaried
CUSTB00248,486726.0,Salaried
CUSTB00249,786859.0,Self Employed
CUSTB00250,244472.0,Self Employed
CUSTB00251,457729.0,Self Employed
CUSTB00252,597021.0,Salaried
CUSTB00253,640352.0,Self Employed
CUSTB00254,326191.0,Salaried
CUSTB00255,594496.0,Salaried
CUSTB00256,377596.0,Salaried
CUSTB00257,765639.0,Self Employed
CUSTB00258,299241.0,Self Employed
CUSTB00259,788490.0,Self Employed
CUSTB00260,445093.0,Salaried
CUSTB00261,235988.0,Self Employed
CUSTB00262,510271.0,Salaried
CUSTB00263,370564.0,Self Employed
CUSTB00264,494680.0,Self Employed
CUSTB00265,357505.0,Salaried
CUSTB00266,261541.0,Salaried
CUSTB00267,659308.0,Salaried
CUSTB00268,578782.0,Self Employed
CUSTB00269,661437.0,Salaried
CUSTB00270,270225.0,Self Employed
CUSTB00271,453538.0,Self Employed
CUSTB00272,296977.0,Self Employed
CUSTB00273,296137.0,Self Employed
CUSTB00274,415246.0,Salaried
CUSTB00275,460991.0,Self Employed
CUSTB00276,768336.0,Salaried
CUSTB00277,310320.0,Self Employed
CUSTB00278,354066.0,Salaried
CUSTB00279,454542.0,Self Employed
CUSTB00280,682697.0,Self Employed
CUSTB00281,220802.0,Self Employed
CUSTB00282,489977.0,Salaried
CUSTB00283,264206.0,Self Employed
CUSTB00284,380207.0,Salaried
CUSTB00285,722086.0,Salaried
CUSTB00286,577428.0,Salaried
CUSTB00287,200145.0,Salaried
CUSTB00288,736723.0,Salaried
CUSTB00289,522925.0,Self Employed
CUSTB00290,793738.0,Self Employed
CUSTB00291,329894.0,Salaried
CUSTB00292,574245.0,Self Employed
CUSTB00293,732623.0,Self Employed
CUSTB00294,602111.0,Salaried
CUSTB00295,778811.0,Salaried
CUSTB00296,791324.0,Salaried
CUSTB00297,513546.0,Salaried
CUSTB00298,610803.0,Self Employed
CUSTB00299,301828.0,Self Employed
CUSTB00300,443148.0,Salaried
CUSTB00301,487221.0,Self Employed
CUSTB00302,442541.0,Salaried
CUSTB00303,357491.0,Salaried
CUSTB00304,234555.0,Self Employed
CUSTB00305,242693.0,Salaried
CUSTB00306,798760.0,Self Employed
CUSTB00307,627824.0,Self Employed
CUSTB00308,748273.0,Self Employed
CUSTB00309,687891.0,Self Employed
CUSTB00310,524618.0,Self Employed
CUSTB00311,668431.0,Self Employed
CUSTB00312,607477.0,Salaried
CUSTB00313,550589.0,Self Employed
CUSTB00314,693926.0,Self Employed
CUSTB00315,754162.0,Self Employed
CUSTB00316,554383.0,Salaried
CUSTB00317,412028.0,Self Employed
CUSTB00318,378080.0,Salaried
CUSTB00319,570644.0,Self Employed
CUSTB00320,436790.0,Self Employed
CUSTB00321,527908.0,Salaried
CUSTB00322,782920.0,Salaried
CUSTB00323,658731.0,Self Employed
CUSTB00324,568689.0,Self Employed
CUSTB00325,556077.0,Self Employed
CUSTB00326,271484.0,Salaried
CUSTB00327,258571.0,Self Employed
CUSTB00328,513972.0,Self Employed
CUSTB00329,366456.0,Self Employed
CUSTB00330,758927.0,Self Employed
CUSTB00331,647022.0,Self Employed
CUSTB00332,502558.0,Salaried
CUSTB00333,234639.0,Salaried
CUSTB00334,753439.0,Self Employed
CUSTB00335,539632.0,Self Employed
CUSTB00336,254850.0,Salaried
CUSTB00337,553560.0,Salaried
CUSTB00338,509790.0,Self Employed
CUSTB00339,307027.0,Salaried
CUSTB00340,671162.0,Self Employed
CUSTB00341,230681.0,Self Employed
CUSTB00342,508438.0,Self Employed
CUSTB00343,338580.0,Salaried
CUSTB00344,282013.0,Self Employed
CUSTB00345,563456.0,Salaried
CUSTB00346,370526.0,Salaried
CUSTB00347,412439.0,Salaried
CUSTB00348,519204.0,Salaried
CUSTB00349,663405.0,Salaried
CUSTB00350,750682.0,Salaried
CUSTB00351,695030.0,Salaried
CUSTB00352,704270.0,Salaried
CUSTB00353,311348.0,Salaried
CUSTB00354,223487.0,Salaried
CUSTB00355,545893.0,Salaried
CUSTB00356,471760.0,Salaried
CUSTB00357,576402.0,Self Employed
CUSTB00358,218969.0,Salaried
CUSTB00359,592353.0,Self Employed
CUSTB00360,330044.0,Salaried
CUSTB00361,211588.0,Self Employed
CUSTB00362,547059.0,Salaried
CUSTB00363,339009.0,Salaried
CUSTB00364,666828.0,Self Employed
CUSTB00365,227177.0,Salaried
CUSTB00366,213099.0,Self Employed
CUSTB00367,650314.0,Salaried
CUSTB00368,674044.0,Salaried
CUSTB00369,487925.0,Salaried
CUSTB00370,543647.0,Self Employed
CUSTB00371,498540.0,Self Employed
CUSTB00372,573843.0,Self Employed
CUSTB00373,347876.0,Salaried
CUSTB00374,303432.0,Self Employed
CUSTB00375,617183.0,Salaried
CUSTB00376,412502.0,Salaried
CUSTB00377,200392.0,Self Employed
CUSTB00378,268598.0,Self Employed
CUSTB00379,516663.0,Salaried
CUSTB00380,689202.0,Salaried
CUSTB00381,525342.0,Salaried
CUSTB00382,582321.0,Self Employed
CUSTB00383,752443.0,Self Employed
CUSTB00384,339247.0,Self Employed
CUSTB00385,204255.0,Self Employed
CUSTB00386,521858.0,Self Employed
CUSTB00387,266261.0,Self Employed
CUSTB00388,753157.0,Salaried
CUSTB00389,440458.0,Self Employed
CUSTB00390,676886.0,Self Employed
CUSTB00391,689620.0,Salaried
CUSTB00392,476324.0,Salaried
CUSTB00393,481191.0,Salaried
CUSTB00394,625842.0,Self Employed
CUSTB00395,759278.0,Salaried
CUSTB00396,659970.0,Self Employed
CUSTB00397,641897.0,Self Employed
CUSTB00398,202292.0,Salaried
CUSTB00399,734770.0,Self Employed
CUSTB00400,510627.0,Salaried
CUSTB00401,471660.0,Self Employed
CUSTB00402,479560.0,Salaried
CUSTB00403,620304.0,Self Employed
CUSTB00404,774760.0,Self Employed
CUSTB00405,597391.0,Salaried
CUSTB00406,247224.0,Salaried
CUSTB00407,233951.0,Self Employed
CUSTB00408,247095.0,Self Employed
CUSTB00409,277732.0,Self Employed
CUSTB00410,455955.0,Salaried
CUSTB00411,782886.0,Salaried
CUSTB00412,681526.0,Salaried
CUSTB00413,661598.0,Salaried
CUSTB00414,540522.0,Self Employed
CUSTB00415,230758.0,Self Employed
CUSTB00416,773283.0,Self Employed
CUSTB00417,745351.0,Self Employed
CUSTB00418,442792.0,Salaried
CUSTB00419,742678.0,Salaried
CUSTB00420,275916.0,Salaried
CUSTB00421,685967.0,Salaried
CUSTB00422,327859.0,Self Employed
CUSTB00423,367095.0,Self Employed
CUSTB00424,574905.0,Salaried
CUSTB00425,392399.0,Self Employed
CUSTB00426,534351.0,Self Employed
CUSTB00427,207857.0,Self Employed
CUSTB00428,690470.0,Salaried
CUSTB00429,690466.0,Self Employed
CUSTB00430,706870.0,Salaried
CUSTB00431,315876.0,Salaried
CUSTB00432,388614.0,Self Employed
CUSTB00433,474576.0,Salaried
CUSTB00434,427374.0,Salaried
CUSTB00435,215487.0,Salaried
CUSTB00436,431832.0,Salaried
CUSTB00437,245420.0,Salaried
CUSTB00438,518141.0,Salaried
CUSTB00439,439187.0,Salaried
CUSTB00440,560074.0,Salaried
CUSTB00441,250373.0,Salaried
CUSTB00442,668496.0,Salaried
CUSTB00443,581667.0,Self Employed
CUSTB00444,298170.0,Self Employed
CUSTB00445,285969.0,Salaried
CUSTB00446,705364.0,Salaried
CUSTB00447,325843.0,Self Employed
CUSTB00448,375331.0,Salaried
CUSTB00449,259698.0,Salaried
CUSTB00450,221877.0,Self Employed
CUSTB00451,617306.0,Self Employed
CUSTB00452,782837.0,Self Employed
CUSTB00453,646740.0,Salaried
CUSTB00454,737742.0,Self Employed
CUSTB00455,468267.0,Self Employed
CUSTB00456,759271.0,Self Employed
CUSTB00457,299818.0,Salaried
CUSTB00458,567500.0,Self Employed
CUSTB00459,371376.0,Self Employed
CUSTB00460,445206.0,Salaried
CUSTB00461,776007.0,Salaried
CUSTB00462,549265.0,Salaried
CUSTB00463,563318.0,Salaried
CUSTB00464,686042.0,Salaried
CUSTB00465,779850.0,Salaried
CUSTB00466,536228.0,Salaried
CUSTB00467,203551.0,Self Employed
CUSTB00468,791243.0,Self Employed
CUSTB00469,744402.0,Salaried
CUSTB00470,561808.0,Self Employed
CUSTB00471,445550.0,Self Employed
CUSTB00472,657812.0,Salaried
CUSTB00473,574316.0,Self Employed
CUSTB00474,587953.0,Self Employed
CUSTB00475,765748.0,Self Employed
CUSTB00476,661458.0,Self Employed
CUSTB00477,536545.0,Self Employed
CUSTB00478,447317.0,Self Employed
CUSTB00479,543063.0,Self Employed
CUSTB00480,720571.0,Salaried
CUSTB00481,758777.0,Salaried
CUSTB00482,461504.0,Self Employed
CUSTB00483,423088.0,Self Employed
CUSTB00484,718542.0,Salaried
CUSTB00485,758947.0,Self Employed
CUSTB00486,278529.0,Salaried
CUSTB00487,557718.0,Self Employed
CUSTB00488,757991.0,Self Employed
CUSTB00489,701602.0,Salaried
CUSTB00490,650518.0,Salaried
CUSTB00491,500418.0,Self Employed
CUSTB00492,361343.0,Self Employed
CUSTB00493,775991.0,Salaried
CUSTB00494,415324.0,Self Employed
CUSTB00495,685281.0,Self Employed
CUSTB00496,595313.0,Self Employed
CUSTB00497,780233.0,Salaried
CUSTB00498,213094.0,Self Employed
CUSTB00499,692176.0,Salaried
CUSTB00500,404575.0,Self Employed
CUSTB00501,763080.0,Self Employed
CUSTB00502,421235.0,Self Employed
CUSTB00503,556389.0,Self Employed
CUSTB00504,453065.0,Salaried
CUSTB00505,761939.0,Salaried
CUSTB00506,653428.0,Self Employed
CUSTB00507,546246.0,Self Employed
CUSTB00508,733333.0,Self Employed
CUSTB00509,375977.0,Salaried
CUSTB00510,266700.0,Self Employed
CUSTB00511,451563.0,Salaried
CUSTB00512,617374.0,Salaried
CUSTB00513,714270.0,Self Employed
CUSTB00514,226753.0,Salaried
CUSTB00515,275573.0,Self Employed
CUSTB00516,745068.0,Salaried
CUSTB00517,226915.0,Self Employed
CUSTB00518,270127.0,Salaried
CUSTB00519,432723.0,Self Employed
CUSTB00520,205523.0,Salaried
CUSTB00521,329681.0,Salaried
CUSTB00522,460011.0,Self Employed
CUSTB00523,607891.0,Self Employed
CUSTB00524,605583.0,Salaried
CUSTB00525,350197.0,Salaried
CUSTB00526,733249.0,Salaried
CUSTB00527,674307.0,Salaried
CUSTB00528,576575.0,Salaried
CUSTB00529,577520.0,Self Employed
CUSTB00530,635573.0,Salaried
CUSTB00531,517720.0,Salaried
CUSTB00532,458969.0,Salaried
CUSTB00533,383229.0,Salaried
CUSTB00534,233216.0,Self Employed
CUSTB00535,583244.0,Self Employed
CUSTB00536,501986.0,Salaried
CUSTB00537,583410.0,Salaried
CUSTB00538,430303.0,Salaried
CUSTB00539,382857.0,Salaried
CUSTB00540,298185.0,Self Employed
CUSTB00541,532313.0,Self Employed
CUSTB00542,382857.0,Self Employed
CUSTB00543,262208.0,Salaried
CUSTB00544,284024.0,Salaried
CUSTB00545,440795.0,Salaried
CUSTB00546,656976.0,Salaried
CUSTB00547,422428.0,Self Employed
CUSTB00548,634148.0,Salaried
CUSTB00549,638579.0,Salaried
CUSTB00550,406663.0,Self Employed
CUSTB00551,507597.0,Salaried
CUSTB00552,539829.0,Salaried
CUSTB00553,417307.0,Salaried
CUSTB00554,744120.0,Salaried
CUSTB00555,767645.0,Self Employed
CUSTB00556,659211.0,Self Employed
CUSTB00557,650050.0,Salaried
CUSTB00558,546085.0,Self Employed
CUSTB00559,232360.0,Salaried
CUSTB00560,784093.0,Self Employed
CUSTB00561,333829.0,Self Employed
CUSTB00562,387067.0,Self Employed
CUSTB00563,506805.0,Salaried
CUSTB00564,741859.0,Salaried
CUSTB00565,623276.0,Salaried
CUSTB00566,672529.0,Salaried
CUSTB00567,764190.0,Self Employed
CUSTB00568,681536.0,Self Employed
CUSTB00569,319358.0,Salaried
CUSTB00570,457820.0,Self Employed
CUSTB00571,482421.0,Self Employed
CUSTB00572,632995.0,Self Employed
CUSTB00573,384593.0,Salaried
CUSTB00574,206782.0,Salaried
CUSTB00575,787815.0,Self Employed
CUSTB00576,512245.0,Salaried
CUSTB00577,276234.0,Salaried
CUSTB00578,432739.0,Self Employed
CUSTB00579,349920.0,Salaried
CUSTB00580,345143.0,Self Employed
CUSTB00581,621490.0,Salaried
CUSTB00582,681827.0,Salaried
CUSTB00583,335763.0,Self Employed
CUSTB00584,772344.0,Salaried
CUSTB00585,712658.0,Salaried
CUSTB00586,407601.0,Self Employed
CUSTB00587,479981.0,Salaried
CUSTB00588,457573.0,Salaried
CUSTB00589,466160.0,Self Employed
CUSTB00590,396608.0,Self Employed
CUSTB00591,636308.0,Self Employed
CUSTB00592,214157.0,Self Employed
CUSTB00593,408511.0,Self Employed
CUSTB00594,619516.0,Self Employed
CUSTB00595,535290.0,Self Employed
CUSTB00596,734004.0,Self Employed
CUSTB00597,448841.0,Salaried
CUSTB00598,304783.0,Salaried
CUSTB00599,502207.0,Self Employed
CUSTB00600,357474.0,Salaried
CUSTB00601,791848.0,Self Employed
CUSTB00602,593335.0,Self Employed
CUSTB00603,710863.0,Salaried
CUSTB00604,383159.0,Self Employed
CUSTB00605,320133.0,Salaried
CUSTB00606,255248.0,Self Employed
CUSTB00607,459270.0,Self Employed
CUSTB00608,300170.0,Salaried
CUSTB00609,561059.0,Self Employed
CUSTB00610,452070.0,Self Employed
CUSTB00611,384290.0,Salaried
CUSTB00612,259665.0,Self Employed
CUSTB00613,652956.0,Self Employed
CUSTB00614,647871.0,Salaried
CUSTB00615,268594.0,Self Employed
CUSTB00616,437924.0,Self Employed
CUSTB00617,260212.0,Salaried
CUSTB00618,481881.0,Self Employed
CUSTB00619,402485.0,Self Employed
CUSTB00620,275982.0,Self Employed
CUSTB00621,271919.0,Self Employed
CUSTB00622,681712.0,Self Employed
CUSTB00623,389800.0,Salaried
CUSTB00624,546232.0,Salaried
CUSTB00625,262796.0,Self Employed
CUSTB00626,676066.0,Self Employed
CUSTB00627,790641.0,Self Employed
CUSTB00628,487820.0,Self Employed
CUSTB00629,408603.0,Salaried
CUSTB00630,627828.0,Self Employed
CUSTB00631,452021.0,Salaried
CUSTB00632,473237.0,Self Employed
CUSTB00633,790920.0,Self Employed
CUSTB00634,365174.0,Self Employed
CUSTB00635,394598.0,Self Employed
CUSTB00636,249475.0,Self Employed
CUSTB00637,696865.0,Self Employed
CUSTB00638,665835.0,Salaried
CUSTB00639,711904.0,Salaried
CUSTB00640,304567.0,Salaried
CUSTB00641,791585.0,Self Employed
CUSTB00642,641332.0,Self Employed
CUSTB00643,248460.0,Salaried
CUSTB00644,702738.0,Salaried
CUSTB00645,253780.0,Salaried
CUSTB00646,560785.0,Self Employed
CUSTB00647,250198.0,Self Employed
CUSTB00648,349801.0,Self Employed
CUSTB00649,245387.0,Salaried
CUSTB00650,556545.0,Self Employed
CUSTB00651,567032.0,Self Employed
CUSTB00652,618972.0,Salaried
CUSTB00653,545301.0,Salaried
CUSTB00654,526126.0,Salaried
CUSTB00655,477574.0,Self Employed
CUSTB00656,408539.0,Salaried
CUSTB00657,688525.0,Self Employed
CUSTB00658,329014.0,Self Employed
CUSTB00659,239535.0,Self Employed
CUSTB00660,407915.0,Self Employed
CUSTB00661,267438.0,Self Employed
CUSTB00662,230985.0,Salaried
CUSTB00663,303594.0,Salaried
CUSTB00664,308486.0,Salaried
CUSTB00665,719464.0,Salaried
CUSTB00666,414687.0,Self Employed
CUSTB00667,467677.0,Salaried
CUSTB00668,328506.0,Self Employed
CUSTB00669,641649.0,Salaried
CUSTB00670,464787.0,Self Employed
CUSTB00671,706190.0,Self Employed
CUSTB00672,411289.0,Self Employed
CUSTB00673,537370.0,Salaried
CUSTB00674,696410.0,Self Employed
CUSTB00675,582412.0,Salaried
CUSTB00676,752336.0,Self Employed
CUSTB00677,566988.0,Self Employed
CUSTB00678,716980.0,Self Employed
CUSTB00679,450793.0,Salaried
CUSTB00680,767014.0,Self Employed
CUSTB00681,275397.0,Salaried
CUSTB00682,567769.0,Salaried
CUSTB00683,768668.0,Salaried
CUSTB00684,132010.0,Self Employed
CUSTB00685,788235.0,Self Employed
CUSTB00686,797253.0,Salaried
CUSTB00687,415845.0,Salaried
CUSTB00688,624272.0,Self Employed
CUSTB00689,537247.0,Self Employed
CUSTB00690,740093.0,Self Employed
CUSTB00691,539243.0,Self Employed
CUSTB00692,687680.0,Self Employed
CUSTB00693,432546.0,Salaried
CUSTB00694,701668.0,Self Employed
CUSTB00695,613813.0,Salaried
CUSTB00696,213832.0,Self Employed
CUSTB00697,533964.0,Self Employed
CUSTB00698,248713.0,Self Employed
CUSTB00699,203413.0,Salaried
CUSTB00700,608600.0,Salaried
CUSTB00701,249823.0,Salaried
CUSTB00702,298013.0,Salaried
CUSTB00703,430300.0,Self Employed
CUSTB00704,505934.0,Self Employed
CUSTB00705,797032.0,Self Employed
CUSTB00706,763080.0,Self Employed
CUSTB00707,260483.0,Self Employed
CUSTB00708,736735.0,Salaried
CUSTB00709,209237.0,Self Employed
CUSTB00710,403184.0,Salaried
CUSTB00711,475237.0,Salaried
CUSTB00712,252641.0,Salaried
CUSTB00713,264012.0,Salaried
CUSTB00714,757285.0,Salaried
CUSTB00715,326413.0,Salaried
CUSTB00716,752484.0,Self Employed
CUSTB00717,567764.0,Self Employed
CUSTB00718,462332.0,Self Employed
CUSTB00719,340160.0,Self Employed
CUSTB00720,693429.0,Salaried
CUSTB00721,617773.0,Self Employed
CUSTB00722,200566.0,Salaried
CUSTB00723,249803.0,Salaried
CUSTB00724,757178.0,Self Employed
CUSTB00725,679207.0,Salaried
CUSTB00726,772352.0,Self Employed
CUSTB00727,438372.0,Self Employed
CUSTB00728,673839.0,Self Employed
CUSTB00729,535043.0,Self Employed
CUSTB00730,615902.0,Self Employed
CUSTB00731,508380.0,Self Employed
CUSTB00732,722014.0,Self Employed
CUSTB00733,371348.0,Self Employed
CUSTB00734,573989.0,Salaried
CUSTB00735,666093.0,Self Employed
CUSTB00736,204773.0,Salaried
CUSTB00737,344058.0,Salaried
CUSTB00738,261959.0,Self Employed
CUSTB00739,390905.0,Self Employed
CUSTB00740,772555.0,Self Employed
CUSTB00741,645187.0,Self Employed
CUSTB00742,503512.0,Self Employed
CUSTB00743,437450.0,Salaried
CUSTB00744,305393.0,Self Employed
CUSTB00745,615156.0,Self Employed
CUSTB00746,722800.0,Salaried
CUSTB00747,789945.0,Salaried
CUSTB00748,736456.0,Salaried
CUSTB00749,299940.0,Salaried
CUSTB00750,592075.0,Salaried
CUSTB00751,263968.0,Self Employed
CUSTB00752,453891.0,Self Employed
CUSTB00753,728349.0,Salaried
