Customer_ID,Disbursal_Date,Loan_Amount,DPD
CUST000209,2023-08-10,26480,0
CUST000210,2024-05-18,196965,210
CUST000211,2024-09-03,44142,0
CUST000212,2024-03-27,174275,30
CUST000213,2024-11-01,148516,0
CUST000214,2024-05-23,40118,0
CUST000215,2024-10-28,183931,0
CUST000216,2024-08-08,183616,30
CUST000217,2024-01-01,70397,0
CUST000218,2024-07-05,36259,30
CUST000219,2024-04-03,24869,90
CUST000220,2024-02-01,87467,30
CUST000221,2024-12-30,198416,60
CUST000222,2024-07-11,121386,30
CUST000223,2024-04-29,113199,30
CUST000224,2024-06-17,48189,180
CUST000225,2024-09-02,81638,0
CUST000226,2023-09-17,58039,0
CUST000227,2024-10-28,47809,0
CUST000228,2023-11-17,62649,0
CUST000229,2024-11-05,137516,30
CUST000230,2024-05-29,81075,60
CUST000231,2024-04-20,196235,0
CUST000232,2024-06-05,197577,0
CUST000233,2024-09-25,151734,30
CUST000234,2024-12-02,199831,0
CUST000235,2023-11-15,32629,0
CUST000236,2024-07-03,29927,30
CUST000237,2024-11-25,105673,0
CUST000238,2024-09-28,75672,30
CUST000239,2023-11-29,55716,0
CUST000240,2024-04-26,169533,60
CUST000241,2024-03-10,152282,0
CUST000242,2024-06-07,81062,0
CUST000243,2024-03-15,143554,30
CUST000244,2023-07-23,117006,0
CUST000245,2024-03-02,174215,0
CUST000246,2024-12-25,159142,30
CUST000247,2023-06-25,126885,0
CUST000248,2024-04-28,185584,0
CUST000249,2023-08-09,124547,0
CUST000250,2023-05-08,74308,60
CUST000251,2024-08-31,24119,30
CUST000252,2023-08-31,73422,30
CUST000253,2024-04-28,85562,0
CUST000254,2023-11-06,172157,90
CUST000255,2023-09-11,145583,0
CUST000256,2023-07-10,139079,0
CUST000257,2023-07-04,117813,300
CUST000258,2024-03-02,23043,90
CUST000259,2024-03-28,97190,0
CUST000260,2024-06-25,96272,30
CUST000261,2023-09-07,25942,60
CUST000262,2024-10-01,54087,0
CUST000263,2023-09-27,36009,0
CUST000264,2024-12-08,49181,0
CUST000265,2024-03-01,135642,0
CUST000266,2024-08-11,179324,30
CUST000267,2024-11-27,101864,0
CUST000268,2024-11-30,60494,30
CUST000269,2023-12-27,180634,30
CUST000270,2024-06-27,78393,30
CUST000271,2024-04-18,179736,180
CUST000272,2023-12-25,170265,60
CUST000273,2024-10-09,152698,30
CUST000274,2023-12-07,148471,300
CUST000275,2024-07-01,133596,0
CUST000276,2023-07-31,104142,90
CUST000277,2023-07-25,17931,0
CUST000278,2023-04-03,41329,0
CUST000279,2024-12-18,52563,90
CUST000280,2023-09-07,49490,0
CUST000281,2023-07-22,90083,0
CUST000282,2023-12-11,55682,0
CUST000283,2023-10-27,26756,0
CUST000284,2024-08-10,114738,90
CUST000285,2023-07-26,70423,0
CUST000286,2024-12-16,32524,0
CUST000287,2024-06-28,62627,0
CUST000288,2023-07-07,66355,60
CUST000289,2023-12-12,51082,60
CUST000290,2023-11-26,144622,180
CUST000291,2023-04-01,46089,90
CUST000292,2024-01-16,91515,0
CUST000293,2024-06-14,74039,0
CUST000294,2024-04-11,78024,30
CUST000295,2023-07-02,132964,0
CUST000296,2024-09-22,86522,90
CUST000297,2024-05-17,88823,0
CUST000298,2024-09-22,74525,0
CUST000299,2023-07-01,179165,60
CUST000300,2024-10-27,22628,0
CUST000301,2023-10-04,119392,150
CUST000302,2024-11-16,83845,0
CUST000303,2023-06-01,137060,60
CUST000304,2023-11-05,141944,0
CUST000305,2024-12-22,114139,210
CUST000306,2024-11-05,72576,30
CUST000307,2024-03-28,44042,0
CUST000308,2024-07-17,19321,0
CUST000309,2024-01-17,190873,0
CUST000310,2023-11-04,50985,90
CUST000311,2024-01-23,91112,60
CUST000312,2023-11-21,101128,0
CUST000313,2023-09-25,93237,0
CUST000314,2024-07-31,183585,60
CUST000315,2023-10-09,187558,0
CUST000316,2024-08-29,28521,0
CUST000317,2024-02-06,189946,180
CUST000318,2024-10-20,110891,30
CUST000319,2024-06-27,171936,0
CUST000320,2024-12-03,184041,30
CUST000321,2023-06-15,119269,0
CUST000322,2024-06-11,101891,0
CUST000323,2023-09-04,64185,60
CUST000324,2024-06-08,184788,0
CUST000325,2023-06-24,50538,0
CUST000326,2024-05-01,125607,0
CUST000327,2023-08-08,110520,0
CUST000328,2023-11-12,94216,0
CUST000329,2023-05-13,118869,30
CUST000330,2024-10-23,190965,60
CUST000331,2024-05-07,174252,30
CUST000332,2024-02-14,40556,0
CUST000333,2023-05-16,187433,30
CUST000334,2024-05-30,55264,0
CUST000335,2023-04-02,156345,30
CUST000336,2024-06-30,90065,0
CUST000337,2024-03-08,108077,0
CUST000338,2024-06-28,188038,0
CUST000339,2023-10-20,125903,0
CUST000340,2024-04-30,41534,30
CUST000341,2024-06-10,117919,0
CUST000342,2023-11-08,67378,0
CUST000343,2024-12-26,42137,0
CUST000344,2023-12-24,190364,0
CUST000345,2023-04-02,27880,180
CUST000346,2024-02-20,54534,0
CUST000347,2023-12-31,143823,0
CUST000348,2023-04-04,182892,0
CUST000349,2024-03-23,79987,30
CUST000350,2023-07-15,14607,60
CUST000351,2023-12-21,192003,30
CUST000352,2024-01-10,44024,0
CUST000353,2023-11-21,139171,0
CUST000354,2023-11-08,187567,0
CUST000355,2023-04-01,113780,300
CUST000356,2023-06-02,108320,0
CUST000357,2024-10-12,24230,0
CUST000358,2024-03-24,137376,0
CUST000359,2024-12-30,72257,90
CUST000360,2024-09-03,176562,30
CUST000361,2024-04-03,128302,0
CUST000362,2023-05-14,135698,0
CUST000363,2023-08-21,102557,0
CUST000364,2024-11-21,43847,30
CUST000365,2024-05-30,141610,300
CUST000366,2024-05-20,79259,30
CUST000367,2024-01-23,172124,0
CUST000368,2024-08-25,192194,30
CUST000369,2024-08-10,153929,0
CUST000370,2024-10-05,71788,30
CUST000371,2023-09-20,106203,0
CUST000372,2024-08-01,33935,0
CUST000373,2023-05-25,63633,0
CUST000374,2024-09-04,152905,0
CUST000375,2023-07-04,143027,210
CUST000376,2023-07-15,36059,30
CUST000377,2023-05-01,147602,60
CUST000378,2024-09-07,124241,0
CUST000379,2023-11-01,135832,0
CUST000380,2023-05-21,89599,0
CUST000381,2023-06-11,77500,30
CUST000382,2023-04-21,137103,0
CUST000383,2024-05-27,189711,60
CUST000384,2024-02-16,59396,0
CUST000385,2024-08-24,186365,30
CUST000386,2024-10-15,106885,0
CUST000387,2023-08-22,52313,90
CUST000388,2023-11-13,34885,240
CUST000389,2023-11-04,155550,180
CUST000390,2024-07-15,53352,0
CUST000391,2023-05-05,28243,0
CUST000392,2023-05-23,86224,0
CUST000393,2024-03-03,78857,0
CUST000394,2023-09-14,124602,0
CUST000395,2024-09-01,36615,30
CUST000396,2023-11-08,162089,30
CUST000397,2024-02-21,80807,0
CUST000398,2023-04-12,23856,0
CUST000399,2023-06-22,47008,60
CUST000400,2023-06-15,58282,0
CUST000401,2024-09-22,110109,0
CUST000402,2024-06-26,83825,240
CUST000403,2024-06-25,148314,0
CUST000404,2024-02-28,134566,360
CUST000405,2024-08-22,93353,60
CUST000406,2023-06-30,116208,0
CUST000407,2024-12-23,101497,0
CUST000408,2024-04-12,198709,240
CUST000409,2024-06-17,44845,0
CUST000410,2024-06-30,157224,90
CUST000411,2023-10-24,145016,0
CUST000412,2024-11-25,37567,0
CUST000413,2024-05-27,156651,0
CUST000414,2024-11-29,181669,0
CUST000415,2024-03-17,160064,0
CUST000416,2024-07-19,138271,0
CUST000417,2024-08-15,30069,0
CUST000418,2024-02-02,196278,0
CUST000419,2024-02-19,12285,240
CUST000420,2024-01-07,42555,60
CUST000421,2023-10-20,150763,0
CUST000422,2023-07-31,87863,0
CUST000423,2024-02-03,37541,30
CUST000424,2024-06-28,198928,0
CUST000425,2023-07-30,167956,0
CUST000426,2023-08-07,193921,0
CUST000427,2024-11-01,30762,90
CUST000428,2024-12-04,94338,0
CUST000429,2024-01-20,53475,30
CUST000430,2023-09-23,111818,0
CUST000431,2024-04-15,23318,60
CUST000432,2024-12-27,34907,60
CUST000433,2023-08-24,151797,60
CUST000434,2024-05-29,182230,0
CUST000435,2024-11-06,182811,180
CUST000436,2023-08-29,55205,180
CUST000437,2023-07-09,153895,150
CUST000438,2023-08-20,36652,180
CUST000439,2023-10-14,49411,0
CUST000440,2023-10-24,112116,60
CUST000441,2024-02-25,153941,0
CUST000442,2024-04-23,59503,0
CUST000443,2024-08-22,29951,90
CUST000444,2023-07-09,147562,90
CUST000445,2024-05-27,197807,300
CUST000446,2024-09-25,129613,0
CUST000447,2023-10-03,170156,0
CUST000448,2023-09-21,144331,0
CUST000449,2024-08-04,188833,0
CUST000450,2023-05-16,142718,30
CUST000451,2024-12-22,116551,0
CUST000452,2024-04-04,89221,0
CUST000453,2024-06-10,159939,0
CUST000454,2023-07-21,125289,0
CUST000455,2024-04-03,22905,0
CUST000456,2023-05-15,169396,90
CUST000457,2024-10-15,143094,30
CUST000458,2023-06-29,173690,0
CUST000459,2024-06-15,53598,210
CUST000460,2024-04-18,125002,300
CUST000461,2024-06-12,138805,0
CUST000462,2023-05-29,143985,0
CUST000463,2024-04-01,153609,60
CUST000464,2024-02-24,83760,180
CUST000465,2023-10-31,76726,60
CUST000466,2023-10-31,46114,300
CUST000467,2024-12-10,32606,0
CUST000468,2024-07-17,197269,30
CUST000469,2024-04-17,14127,90
CUST000470,2024-10-12,172943,30
CUST000471,2024-09-08,179775,30
CUST000472,2024-01-05,152978,0
CUST000473,2023-11-06,133009,30
CUST000474,2023-07-10,103384,0
CUST000475,2024-03-11,88482,0
CUST000476,2024-08-18,54091,0
CUST000477,2024-06-14,95113,60
CUST000478,2024-12-23,136375,60
CUST000479,2023-09-14,167014,0
CUST000480,2024-01-01,180470,0
CUST000481,2024-03-29,42322,0
CUST000482,2024-07-11,142490,0
CUST000483,2024-05-07,38011,0
CUST000484,2024-11-25,103179,0
CUST000485,2023-11-06,74881,90
CUST000486,2024-03-11,59165,210
CUST000487,2024-01-20,93197,0
CUST000488,2023-06-01,85271,60
CUST000489,2024-11-18,87363,0
CUST000490,2023-12-21,98633,90
CUST000491,2024-05-12,196588,210
CUST000492,2024-12-04,77342,0
CUST000493,2024-03-27,10068,0
CUST000494,2024-09-28,27749,0
CUST000495,2023-10-30,95596,30
CUST000496,2024-07-10,48889,0
CUST000497,2023-09-14,167470,300
CUST000498,2024-10-01,159496,0
CUST000499,2023-09-01,107779,0
CUST000500,2024-01-30,48190,150
CUST000501,2023-09-09,83649,0
CUST000502,2023-10-27,102480,0
CUST000503,2023-10-04,148898,0
CUST000504,2023-07-09,46318,60
CUST000505,2024-01-19,124515,0
CUST000506,2024-11-08,92179,0
CUST000507,2024-11-12,135287,0
CUST000508,2024-07-07,166417,30
CUST000509,2023-11-18,27231,90
CUST000510,2024-02-09,195036,0
CUST000511,2024-10-08,182693,30
CUST000512,2024-11-24,180111,180
CUST000513,2024-05-03,175899,30
CUST000514,2023-12-12,162220,0
CUST000515,2023-07-09,12629,0
CUST000516,2024-05-05,163479,0
CUST000517,2024-02-01,76494,0
CUST000518,2024-12-16,17109,90
CUST000519,2024-03-19,156464,60
CUST000520,2023-08-22,17447,0
CUST000521,2024-08-15,101673,90
CUST000522,2023-07-05,103658,30
CUST000523,2023-11-15,193982,0
CUST000524,2024-03-07,74669,300
CUST000525,2023-07-17,145318,0
CUST000526,2024-07-20,170760,30
CUST000527,2023-07-01,124716,0
CUST000528,2024-04-08,197905,0
CUST000529,2024-09-11,58945,30
CUST000530,2023-09-14,140104,180
CUST000531,2024-01-20,152286,60
CUST000532,2024-08-29,35124,0
CUST000533,2023-05-02,95288,0
CUST000534,2023-05-01,128157,0
CUST000535,2024-04-06,113297,0
CUST000536,2023-05-29,75214,60
CUST000537,2024-05-11,89354,360
CUST000538,2024-03-31,47653,240
CUST000539,2023-09-20,170627,60
CUST000540,2023-07-07,78532,60
CUST000541,2024-04-07,89999,30
CUST000542,2023-07-02,169017,0
CUST000543,2024-05-01,18313,0
CUST000544,2024-04-25,11531,0
CUST000545,2024-07-30,114339,0
CUST000546,2024-09-24,184011,60
CUST000547,2023-06-01,83061,0
CUST000548,2024-12-23,95275,0
CUST000549,2024-10-31,91925,0
CUST000550,2024-12-03,70800,0
CUST000551,2023-07-16,27571,0
CUST000552,2023-05-08,100727,300
CUST000553,2023-11-21,159398,30
CUST000554,2024-10-04,83476,0
CUST000555,2023-08-08,134373,0
CUST000556,2024-04-05,191902,0
CUST000557,2024-12-09,61779,30
CUST000558,2023-07-04,142001,0
CUST000559,2024-07-06,46689,0
CUST000560,2024-10-31,94882,0
CUST000561,2023-12-07,175952,240
CUST000562,2023-07-29,44404,0
CUST000563,2024-05-03,140416,90
CUST000564,2024-10-21,126891,30
CUST000565,2024-12-10,17353,30
CUST000566,2023-11-19,126602,0
CUST000567,2023-10-31,156229,0
CUST000568,2024-12-31,38978,60
CUST000569,2023-09-21,174348,0
CUST000570,2024-06-20,66962,60
CUST000571,2024-05-05,75482,0
CUST000572,2024-08-19,126862,300
CUST000573,2024-03-09,182061,0
CUST000574,2023-07-25,48816,0
CUST000575,2024-12-26,48079,60
CUST000576,2023-04-28,53022,0
CUST000577,2024-03-21,54934,0
CUST000578,2023-10-17,195246,0
CUST000579,2023-10-29,46587,0
CUST000580,2023-04-26,27955,90
CUST000581,2024-10-12,132156,180
CUST000582,2024-06-25,170208,0
CUST000583,2023-11-27,145103,30
CUST000584,2024-02-13,105603,0
CUST000585,2023-06-14,12010,30
CUST000586,2023-11-01,29278,0
CUST000587,2024-09-19,41321,30
CUST000588,2023-09-30,135219,0
CUST000589,2023-08-26,45746,0
CUST000590,2024-05-16,75117,30
CUST000591,2023-05-13,14798,0
CUST000592,2023-12-24,171952,60
CUST000593,2024-09-28,60967,60
CUST000594,2024-10-12,57124,0
CUST000595,2024-07-16,71556,0
CUST000596,2024-09-17,71574,0
CUST000597,2024-09-08,86087,180
CUST000598,2024-11-20,180670,0
CUST000599,2024-01-18,50776,30
CUST000600,2024-04-04,126709,60
CUST000601,2024-03-27,131263,30
CUST000602,2024-12-03,17350,0
CUST000603,2024-07-06,121729,90
CUST000604,2024-12-25,115240,0
CUST000605,2023-04-15,177464,0
CUST000606,2023-12-26,88709,30
CUST000607,2023-12-16,149390,0
CUST000608,2024-05-26,141427,0
CUST000609,2024-04-16,198260,0
CUST000610,2024-11-18,145578,30
CUST000611,2024-12-02,149739,0
CUST000612,2024-05-20,140718,30
CUST000613,2024-10-05,95223,0
CUST000614,2024-03-27,82208,240
CUST000615,2023-06-22,31570,90
CUST000616,2024-02-28,139906,0
CUST000617,2024-11-19,113854,0
CUST000618,2024-09-27,60722,60
CUST000619,2023-06-30,187632,0
CUST000620,2024-05-16,172977,0
CUST000621,2023-11-07,40762,0
CUST000622,2024-12-17,112313,0
CUST000623,2024-11-08,161706,30
CUST000624,2024-07-13,46573,180
CUST000625,2024-11-13,54588,0
CUST000626,2024-12-18,109130,0
CUST000627,2024-05-10,22328,180
CUST000628,2024-11-26,182504,0
CUST000629,2024-05-04,192609,0
CUST000630,2023-09-08,20918,30
CUST000631,2024-03-05,56408,0
CUST000632,2024-03-08,37357,30
CUST000633,2023-10-04,14197,180
CUST000634,2024-08-10,192741,0
CUST000635,2023-10-18,176911,90
CUST000636,2024-08-07,111076,30
CUST000637,2024-07-14,86780,30
CUST000638,2024-01-19,13092,30
CUST000639,2024-05-13,66067,0
CUST000640,2023-12-11,104916,0
CUST000641,2023-10-30,170885,0
CUST000642,2023-09-01,142611,0
CUST000643,2023-12-20,99391,0
CUST000644,2024-03-16,44313,0
CUST000645,2024-04-08,193580,180
CUST000646,2024-09-27,29119,0
CUST000647,2023-12-04,174544,0
CUST000648,2024-11-25,144623,0
CUST000649,2023-04-15,150261,0
CUST000650,2024-10-13,130802,30
CUST000651,2023-11-13,170701,0
CUST000652,2024-10-06,74524,0
CUST000653,2024-03-21,195015,300
CUST000654,2024-10-22,163935,0
CUST000655,2024-01-11,83687,0
CUST000656,2023-05-16,29459,0
CUST000657,2023-09-02,73235,0
CUST000658,2023-09-23,114342,0
CUST000659,2024-11-20,159605,0
CUST000660,2023-09-14,166516,30
CUST000661,2024-11-08,126108,0
CUST000662,2024-10-18,135705,30
CUST000663,2023-08-04,72101,0
CUST000664,2023-08-19,170350,0
CUST000665,2023-05-05,42285,30
CUST000666,2024-01-27,105442,0
CUST000667,2023-11-14,67958,90
CUST000668,2023-11-27,64432,90
CUST000669,2024-11-10,134295,0
CUST000670,2024-07-07,105486,0
CUST000671,2024-02-27,86697,60
CUST000672,2024-05-01,195256,0
CUST000673,2024-03-29,167570,0
CUST000674,2023-07-01,142150,0
CUST000675,2023-07-30,144573,0
CUST000676,2024-11-07,185048,60
CUST000677,2024-03-14,175536,90
CUST000678,2023-06-07,85143,360
CUST000679,2024-01-22,171865,30
CUST000680,2023-09-08,144610,0
CUST000681,2024-11-17,97368,0
CUST000682,2024-04-25,23230,0
CUST000683,2024-05-26,114771,0
CUST000684,2024-05-13,136136,0
CUST000685,2024-03-30,42031,0
CUST000686,2023-12-07,186789,30
CUST000687,2024-08-29,138971,0
CUST000688,2024-10-28,194214,180
CUST000689,2024-04-27,136358,60
CUST000690,2024-10-20,171121,0
CUST000691,2023-12-06,159318,90
CUST000692,2024-04-15,157144,0
CUST000693,2023-12-25,107169,0
CUST000694,2024-08-15,13597,30
CUST000695,2024-10-30,148479,360
CUST000696,2024-02-19,122644,0
CUST000697,2024-07-11,23309,90
CUST000698,2023-10-20,125910,0
CUST000699,2024-04-04,13176,60
CUST000700,2023-12-13,92131,0
CUST000701,2023-12-10,80851,30
CUST000702,2024-04-11,18889,0
CUST000703,2024-04-25,17820,0
CUST000704,2023-05-20,48653,0
CUST000705,2024-02-01,49404,0
CUST000706,2024-03-14,123755,60
CUST000707,2024-06-01,73606,30
CUST000708,2024-07-30,166298,0
CUST000709,2023-06-27,169865,30
CUST000710,2024-10-09,107106,30
CUST000711,2024-06-15,186776,60
CUST000712,2023-05-11,32089,0
CUST000713,2024-04-12,42934,0
CUST000714,2023-07-12,74338,90
CUST000715,2024-01-27,93728,60
CUST000716,2023-05-01,61512,180
CUST000717,2024-09-28,161014,0
CUST000718,2023-05-02,190164,150
CUST000719,2023-10-11,170576,30
CUST000720,2023-10-22,51105,0
CUST000721,2024-01-20,78985,60
CUST000722,2024-02-01,134842,0
CUST000723,2024-08-02,30424,0
CUST000724,2023-05-25,17406,0
CUST000725,2023-05-27,141707,0
CUST000726,2023-08-30,44915,0
CUST000727,2023-06-15,130803,0
CUST000728,2024-10-12,25038,0
CUST000729,2024-10-19,22264,0
CUST000730,2024-12-15,156625,0
CUST000731,2024-11-01,142962,0
CUST000732,2024-02-12,77411,0
CUST000733,2023-11-26,73899,0
CUST000734,2023-09-18,39823,0
CUST000735,2023-11-13,100679,0
CUST000736,2023-10-30,25604,0
CUST000737,2024-07-22,177254,90
CUST000738,2024-01-03,87173,180
CUST000739,2024-09-19,147829,90
CUST000740,2024-12-12,111956,30
CUST000741,2023-09-29,182546,180
CUST000742,2024-05-14,71819,0
CUST000743,2023-05-17,197158,0
CUST000744,2024-04-04,13356,0
CUST000745,2024-07-15,164385,0
CUST000746,2024-05-23,38915,0
CUST000747,2023-11-28,23458,0
CUST000748,2024-07-07,52944,0
CUST000749,2023-04-16,35951,0
CUST000750,2023-07-24,173658,0
CUST000751,2023-04-18,44255,0
CUST000752,2023-06-09,164937,0
CUST000753,2023-12-31,160966,60
CUST000754,2023-05-04,76920,30
CUST000755,2023-09-05,191506,60
CUST000756,2023-04-24,113389,0
CUST000757,2024-09-07,142132,0
CUST000758,2024-06-12,11374,30
CUST000759,2023-06-28,127440,90
CUST000760,2024-07-05,75215,0
CUST000761,2024-06-29,120519,30
CUST000762,2023-08-20,70967,0
CUST000763,2024-02-09,46952,0
CUST000764,2024-04-22,177911,0
CUST000765,2024-01-25,42651,90
CUST000766,2024-03-19,154301,0
CUST000767,2023-12-13,46187,0
CUST000768,2023-09-08,89774,30
CUST000769,2023-11-28,131717,0
CUST000770,2023-10-05,128828,0
CUST000771,2023-05-03,136760,0
CUST000772,2024-08-25,33489,0
CUST000773,2024-01-06,165753,30
CUST000774,2024-12-13,167401,360
