Customer_ID,Loan_Amount,Disbursal_Date,Write_Off_Date
CUST001187,88384,2024-08-23,2025-11-21
CUST001190,83332,2023-06-30,2024-08-06
CUST001273,96080,2023-06-16,2025-01-06
CUST001287,169710,2023-06-08,2025-01-06
CUST001301,146345,2024-07-31,2026-03-01
CUST001310,72778,2023-05-18,2024-10-06
CUST001324,12885,2024-10-12,2025-11-24
CUST001333,175144,2024-10-03,2025-12-20
CUST001336,152354,2024-12-21,2026-01-29
CUST001345,68105,2024-06-19,2026-01-12
CUST001362,41875,2024-06-01,2025-09-30
CUST001383,182866,2024-11-13,2026-02-20
CUST001393,147293,2024-06-09,2025-12-09
CUST001404,45751,2024-05-03,2025-05-23
CUST001437,122398,2023-07-21,2024-12-08
CUST001455,127235,2023-04-11,2024-05-24
CUST001469,127336,2024-07-08,2025-12-12
CUST001484,197989,2024-06-08,2025-09-04
CUST001488,160657,2024-08-28,2025-07-11
CUST001500,43762,2024-10-18,2025-09-12
CUST001513,176978,2024-09-16,2025-10-26
CUST001532,44452,2024-07-02,2026-02-06
CUST001560,149752,2024-11-06,2025-12-30
CUST001590,95871,2024-09-10,2025-07-07
CUST001597,17063,2024-05-02,2025-10-14
CUST001599,182263,2023-11-19,2024-11-04
CUST001617,46415,2023-10-18,2025-02-09
CUST001638,72108,2024-06-05,2025-05-22
CUST001650,112837,2024-12-24,2026-03-12
CUST001658,12073,2023-06-07,2024-11-30
CUST001669,73399,2024-12-04,2026-02-09
CUST001671,89634,2024-08-03,2025-05-31
CUST001687,174851,2024-05-21,2025-05-27
CUST001691,118221,2024-02-05,2025-04-21
CUST001707,63997,2024-04-15,2025-07-06
CUST001712,48338,2024-07-04,2025-07-13
CUST001720,191371,2023-09-30,2024-10-16
CUST001738,31465,2024-02-09,2025-01-09
CUST001739,140301,2024-03-20,2025-04-20
CUST001754,47129,2023-11-08,2024-12-14
CUST001770,10680,2023-06-28,2024-05-21
CUST001772,95462,2024-12-28,2026-01-28
CUST001773,86189,2023-07-24,2025-01-28
CUST001774,125535,2023-11-02,2025-04-10
CUST001805,106265,2024-02-26,2025-03-22
CUST001809,122141,2024-12-04,2025-10-15
CUST001823,31508,2024-01-27,2025-08-22
CUST001830,197651,2024-01-11,2025-08-07
CUST001836,23595,2024-10-11,2026-01-27
CUST001840,164314,2023-11-05,2025-05-13
CUST001846,46577,2024-04-01,2025-09-21
CUST001852,145399,2024-07-19,2025-08-07
CUST001896,31377,2023-10-23,2024-12-31
CUST001924,192800,2023-10-28,2025-03-03
CUST001928,190188,2024-07-01,2025-12-03
CUST001951,126964,2024-03-29,2025-05-08
CUST001953,141014,2023-09-17,2024-09-08
CUST001957,135062,2023-10-24,2025-03-29
CUST001961,143831,2023-08-12,2025-01-23
CUST001966,21082,2023-08-31,2024-07-15
CUST001969,167324,2023-04-09,2024-08-12
CUST001976,49025,2023-10-01,2025-03-04
CUST001990,199900,2023-11-29,2025-06-12
CUST001991,171811,2024-02-28,2025-10-18
CUST002009,120513,2024-06-04,2025-05-01
CUST002014,84500,2023-05-01,2024-08-13
CUST002026,19154,2024-09-03,2025-07-11
CUST002028,116401,2024-12-31,2026-04-24
CUST002036,157805,2024-04-12,2025-08-20
CUST002037,44901,2024-06-02,2025-10-24
CUST002058,84109,2023-09-23,2024-10-22
CUST002071,153961,2024-12-04,2026-05-08
CUST002077,130365,2024-07-10,2026-02-18
CUST002079,84221,2024-05-20,2025-07-15
CUST002100,153801,2024-01-03,2025-07-19
CUST002105,75724,2023-07-04,2024-07-14
CUST002116,160677,2023-12-24,2025-02-01
CUST002124,45244,2023-07-17,2024-12-15
CUST002127,182555,2024-11-24,2026-05-19
CUST002159,79265,2023-12-19,2025-08-03
CUST002163,139934,2024-03-16,2025-08-05
CUST002164,29738,2024-01-31,2025-05-08
CUST002174,101182,2024-01-15,2025-03-29
CUST002187,57935,2024-05-15,2025-07-31
CUST002194,131291,2023-10-06,2024-12-21
CUST002197,39357,2023-09-05,2025-03-05
CUST002199,193730,2024-01-04,2024-12-04
CUST002213,88028,2024-07-14,2025-06-25
CUST002247,144741,2024-05-05,2025-10-24
CUST002250,63322,2023-12-14,2025-03-21
CUST002272,63050,2024-02-07,2024-12-23
CUST002297,149391,2023-11-08,2025-04-22
CUST002298,82840,2024-03-10,2025-05-21
CUST002303,122159,2024-09-01,2026-01-27
CUST002309,188673,2023-10-27,2025-03-06
CUST002311,154214,2023-10-17,2024-09-18
CUST002335,149314,2024-11-08,2026-04-29
CUST002347,23026,2023-07-22,2024-07-12
CUST002354,59957,2024-04-01,2025-09-23
CUST002360,101558,2023-12-31,2025-01-10
CUST002363,123595,2023-05-04,2024-10-13
CUST002378,119811,2023-06-05,2024-07-09
CUST002395,182217,2024-10-24,2025-10-17
CUST002396,111093,2024-08-29,2026-02-22
CUST002427,121444,2023-04-24,2024-08-06
CUST002432,24983,2023-05-23,2025-01-06
CUST002433,121508,2023-06-14,2024-05-12
CUST002437,35713,2024-08-11,2025-09-27
CUST002442,165862,2024-10-05,2026-01-21
CUST002443,106387,2024-12-29,2026-08-12
CUST002453,45273,2023-08-22,2025-03-23
CUST002478,128457,2023-07-11,2024-07-18
CUST002480,189635,2024-03-20,2025-05-31
CUST002487,117323,2024-10-13,2025-09-24
CUST002492,192251,2024-07-23,2025-08-30
CUST002510,56701,2023-09-24,2024-11-18
CUST002514,66587,2023-10-01,2025-04-03
CUST002515,159101,2024-05-23,2025-11-01
CUST002522,180034,2024-03-28,2025-01-31
CUST002565,34555,2023-12-14,2025-04-23
CUST002571,40421,2023-12-27,2024-11-08
CUST002577,100846,2023-04-20,2024-10-04
CUST002583,168177,2024-09-20,2026-02-22
CUST002587,21483,2023-10-08,2025-05-04
CUST002599,182991,2024-06-21,2025-12-22
CUST002603,26782,2023-10-07,2024-09-20
CUST002606,159880,2024-05-14,2025-08-25
CUST002608,34197,2023-07-06,2025-01-07
CUST002611,173126,2024-07-23,2025-10-08
CUST002616,181190,2023-06-14,2024-05-15
CUST002633,107128,2024-03-29,2025-04-18
CUST002634,25256,2024-03-03,2025-09-24
CUST002648,36728,2023-05-02,2024-10-03
CUST002658,93915,2023-04-13,2024-02-18
CUST002661,194330,2023-07-01,2024-12-26
CUST002663,103621,2023-06-13,2024-12-09
CUST002668,34564,2024-05-31,2025-08-03
CUST002673,100696,2023-05-06,2024-10-21
CUST002682,192902,2023-11-11,2024-10-07
CUST002693,154814,2023-09-13,2025-04-13
CUST002703,95922,2023-04-15,2024-04-15
CUST002708,41178,2024-10-17,2026-01-11
CUST002747,115124,2023-11-24,2025-04-19
CUST002752,103986,2024-02-18,2025-07-19
CUST002764,112584,2023-10-22,2025-03-26
CUST002771,148328,2023-10-27,2025-01-24
CUST002776,192104,2024-02-22,2025-04-05
CUST002780,26255,2024-01-13,2025-05-15
CUST002786,33423,2024-05-19,2025-07-07
CUST002796,132900,2023-09-04,2025-02-13
CUST002804,65652,2024-07-22,2025-06-20
CUST002811,69706,2024-06-04,2025-10-31
CUST002830,197132,2023-10-25,2025-05-14
CUST002834,184401,2024-04-25,2025-11-11
CUST002836,189424,2024-06-03,2025-09-07
CUST002839,178115,2023-09-26,2025-05-10
CUST002852,25209,2023-10-18,2025-04-25
CUST002868,50992,2023-07-02,2024-12-03
CUST002869,125752,2024-12-07,2026-06-15
CUST002887,100068,2023-12-30,2025-04-18
CUST002896,132089,2023-06-05,2024-08-06
CUST002905,81089,2024-02-07,2025-09-23
CUST002920,34535,2024-09-19,2026-02-03
CUST002948,110189,2023-07-10,2024-07-30
CUST002952,84717,2024-03-10,2025-02-06
CUST002954,49659,2023-05-15,2024-08-19
CUST002974,69950,2023-05-02,2024-05-03
CUST002982,135828,2024-02-22,2025-06-04
CUST002984,50588,2024-05-23,2025-06-20
CUST002987,194331,2024-02-04,2025-04-29
CUST002988,60110,2024-07-24,2025-07-13
CUST002998,10825,2023-12-04,2025-07-03
CUST003000,151028,2024-07-26,2025-12-29
CUST003003,130786,2023-06-01,2024-05-08
CUST003011,190095,2023-07-20,2024-11-14
CUST003021,89349,2024-10-26,2025-12-30
CUST003035,46066,2023-07-08,2024-12-30
CUST003057,158896,2024-02-21,2025-03-11
CUST003067,126369,2024-09-06,2026-01-15
CUST003072,17512,2024-09-19,2026-02-05
CUST003094,140687,2024-10-19,2026-03-05
CUST003099,143344,2024-10-25,2025-10-22
CUST003118,186508,2024-05-30,2025-09-07
CUST003123,179430,2023-04-08,2024-10-08
CUST003140,192122,2023-04-04,2024-09-15
CUST003143,100089,2024-08-31,2026-02-20
CUST003154,170031,2024-01-10,2025-05-18
CUST003180,77869,2023-10-25,2025-04-17
CUST003186,41458,2023-06-25,2024-10-04
CUST003191,40274,2024-03-28,2025-02-28
CUST003197,66552,2024-01-23,2025-05-07
CUST003210,80512,2023-09-17,2024-09-09
CUST003215,86985,2024-03-05,2025-04-02
CUST003234,172052,2024-04-02,2025-04-12
CUST003256,18650,2024-06-13,2025-07-20
CUST003264,51704,2023-08-03,2025-01-18
CUST003265,21507,2024-08-25,2025-07-16
CUST003271,147971,2024-06-09,2025-08-14
CUST003273,177923,2023-04-10,2024-09-13
CUST003282,146220,2023-09-11,2025-03-22
CUST003285,26153,2024-11-11,2025-12-04
CUST003288,68120,2024-02-20,2025-02-21
CUST003319,129986,2023-12-27,2025-04-12
CUST003321,150792,2023-07-12,2024-11-03
CUST003323,63241,2024-08-26,2025-10-18
CUST003345,15890,2023-10-26,2024-08-28
CUST003357,156762,2024-03-30,2025-01-26
CUST003367,79238,2023-11-29,2024-10-23
CUST003377,129497,2024-08-25,2025-11-10
CUST003383,100993,2024-07-29,2025-09-09
CUST003385,136464,2024-07-05,2025-05-02
CUST003391,116852,2023-11-21,2025-06-15
CUST003392,99289,2024-05-30,2025-09-27
CUST003400,37655,2024-07-28,2026-01-01
CUST003408,42190,2023-05-21,2025-01-05
CUST003423,74103,2024-09-19,2026-03-11
CUST003428,111352,2023-07-31,2024-10-26
CUST003443,21396,2023-06-20,2024-05-27
CUST003450,169238,2024-06-18,2026-01-15
CUST003452,169736,2024-08-06,2025-11-12
CUST003498,194574,2024-01-10,2025-06-03
CUST003545,28360,2024-04-09,2025-05-25
CUST003546,182893,2024-03-03,2025-10-18
CUST003556,128090,2024-05-24,2025-10-08
CUST003558,123818,2024-09-03,2026-03-30
CUST003564,90962,2024-08-18,2026-03-04
CUST003568,191728,2023-07-04,2024-10-20
CUST003573,66400,2023-05-08,2024-12-23
CUST003580,156034,2023-07-18,2024-09-11
CUST003605,55302,2023-09-07,2025-04-26
CUST003620,81217,2024-01-30,2025-04-08
CUST003626,12383,2023-08-17,2025-02-06
CUST003637,93790,2023-07-29,2024-05-30
CUST003662,117496,2023-05-10,2024-06-09
CUST003668,177154,2023-08-19,2024-11-06
CUST003674,184754,2024-04-20,2025-04-14
CUST003692,148298,2024-07-08,2026-01-12
CUST003712,56422,2024-10-29,2026-01-27
CUST003738,167549,2024-04-05,2025-05-11
CUST003745,78289,2023-08-25,2024-11-04
CUST003751,92831,2024-03-12,2025-03-26
CUST003778,75575,2024-03-25,2025-07-22
CUST003784,131540,2023-09-12,2024-10-09
CUST003787,99141,2023-10-09,2025-01-27
CUST003814,164222,2024-11-21,2025-10-30
CUST003831,195813,2024-09-12,2026-04-04
CUST003835,52656,2024-08-25,2026-02-24
CUST003841,80363,2024-02-08,2025-01-06
CUST003867,118256,2024-03-16,2025-09-15
CUST003870,43775,2023-10-07,2024-08-06
CUST003873,91884,2024-02-01,2025-02-28
CUST003886,88621,2023-09-20,2025-01-26
CUST003889,139104,2024-03-13,2025-06-12
CUST003893,149143,2024-03-26,2025-10-02
CUST003900,108701,2024-07-01,2025-09-27
CUST003903,80828,2023-07-19,2024-07-20
CUST003917,190053,2024-12-10,2026-03-04
CUST003926,129321,2023-04-14,2024-06-28
CUST003939,76151,2024-05-17,2025-09-28
CUST003954,101662,2024-10-07,2025-12-22
CUST003959,147495,2024-04-02,2025-09-22
CUST003975,86718,2024-07-25,2025-11-17
CUST003986,198085,2024-03-07,2025-09-16
CUST003988,26831,2024-03-10,2025-08-25
CUST004001,68409,2023-06-24,2025-02-07
CUST004008,169435,2023-04-28,2024-11-13
CUST004015,187114,2023-07-16,2025-02-06
CUST004028,119665,2024-12-21,2026-04-14
CUST004038,196556,2023-08-03,2024-11-10
CUST004045,142613,2024-05-11,2025-09-14
CUST004049,185077,2024-09-21,2025-08-04
CUST004076,33024,2024-02-07,2025-02-10
CUST004100,79845,2024-06-05,2025-11-17
CUST004107,154579,2023-07-27,2024-10-31
CUST004126,86680,2024-02-11,2024-12-10
CUST004157,36777,2024-06-02,2025-07-27
CUST004164,97053,2023-10-12,2025-03-24
CUST004169,43924,2024-09-02,2026-03-23
CUST004188,97384,2024-11-18,2025-10-17
CUST004201,166207,2023-11-19,2024-09-26
CUST004207,198012,2024-03-08,2025-08-18
CUST004214,58736,2024-01-31,2025-04-10
CUST004231,187458,2024-05-21,2025-09-14
CUST004244,43839,2024-10-18,2025-08-29
CUST004287,187865,2024-05-30,2025-05-17
CUST004307,157859,2024-02-13,2025-02-15
CUST004313,186990,2023-12-02,2024-11-06
CUST004330,17335,2023-07-23,2025-02-01
CUST004347,63891,2024-05-19,2025-11-17
CUST004364,14407,2024-07-24,2025-10-02
CUST004373,96714,2023-06-29,2024-06-10
CUST004378,188203,2023-11-27,2024-09-23
CUST004407,132657,2023-10-02,2025-01-07
CUST004409,197592,2024-01-10,2025-06-11
CUST004411,31041,2024-01-13,2025-01-02
CUST004425,130656,2024-04-20,2025-06-23
CUST004449,36793,2023-10-01,2025-03-27
CUST004451,99179,2024-04-12,2025-03-06
CUST004466,180413,2024-06-25,2026-01-22
CUST004488,107057,2024-01-29,2025-04-26
CUST004491,170953,2024-09-17,2026-02-09
CUST004493,105275,2023-07-05,2024-11-21
CUST004499,40318,2024-08-27,2026-01-09
CUST004510,111130,2023-06-01,2024-08-25
CUST004519,89545,2023-04-14,2024-05-31
CUST004532,175975,2023-08-17,2024-10-11
CUST004534,182671,2024-06-15,2025-04-21
CUST004552,62182,2023-07-26,2025-02-06
CUST004570,51857,2024-05-07,2025-03-07
CUST004583,104808,2024-08-07,2025-09-25
CUST004598,129666,2024-11-26,2026-01-19
CUST004618,121233,2023-04-21,2024-07-20
CUST004632,35622,2024-02-18,2025-03-05
CUST004659,76545,2023-12-29,2025-02-22
CUST004683,32731,2024-01-11,2025-01-31
CUST004690,152921,2024-10-14,2025-12-21
CUST004705,67867,2024-01-24,2025-05-21
CUST004706,147786,2023-08-15,2024-08-10
CUST004716,123642,2024-12-05,2026-06-14
CUST004748,23302,2024-04-11,2025-11-14
CUST004760,22534,2024-07-27,2025-11-12
CUST004768,99846,2023-09-14,2024-09-05
CUST004775,41695,2024-08-14,2025-12-12
CUST004776,52743,2024-05-17,2025-06-26
CUST004826,33148,2023-06-10,2025-01-12
CUST004842,95339,2024-10-09,2025-11-08
CUST004861,169234,2023-06-12,2025-01-10
CUST004870,167839,2024-02-26,2025-09-03
CUST004879,23623,2024-12-06,2026-05-24
CUST004881,160200,2023-10-20,2025-06-08
CUST004886,42595,2024-07-13,2025-05-22
CUST004925,191869,2024-05-08,2025-08-20
CUST004933,32210,2023-09-15,2025-04-23
CUST004956,98635,2023-11-28,2024-10-29
CUST004962,150472,2024-11-10,2026-02-26
CUST004966,167987,2023-10-29,2025-04-30
CUST004991,41079,2024-07-16,2025-11-23
CUST005045,77344,2023-08-06,2024-10-30
CUST005048,77557,2023-12-06,2025-06-04
CUST005055,26703,2024-03-03,2025-06-23
CUST005070,46896,2024-10-17,2025-10-21
CUST005073,177889,2023-12-21,2024-12-16
CUST005100,74295,2024-06-01,2025-12-17
CUST005102,69577,2023-10-04,2024-12-30
CUST005104,160009,2024-02-04,2024-11-30
CUST005125,129795,2023-05-05,2024-07-06
CUST005144,34394,2023-04-04,2024-08-10
CUST005147,148057,2023-07-14,2025-02-03
CUST005151,122833,2024-10-18,2026-04-19
CUST005157,14886,2024-03-11,2025-10-04
CUST005172,77067,2024-11-12,2025-09-27
CUST005179,68582,2023-11-08,2024-12-14
CUST005194,186706,2024-03-27,2025-02-27
CUST005196,110546,2023-11-21,2025-02-16
CUST005199,151322,2024-09-12,2025-10-01
CUST005205,65534,2024-10-27,2025-11-17
CUST005239,53565,2024-05-27,2025-05-13
CUST005244,53578,2024-01-29,2025-06-10
CUST005247,94461,2024-08-23,2025-11-12
CUST005254,63486,2024-07-20,2025-11-03
CUST005268,149854,2024-08-01,2025-06-10
CUST005274,58972,2024-02-01,2025-04-15
CUST005275,107885,2024-12-08,2026-05-23
CUST005283,157622,2023-11-19,2024-12-15
CUST005285,103772,2024-06-02,2025-09-22
CUST005297,34641,2023-04-02,2024-07-09
CUST005307,12521,2023-04-06,2024-11-10
CUST005308,130489,2023-05-23,2024-05-28
CUST005321,60764,2023-06-12,2024-08-18
CUST005325,193851,2023-11-20,2025-05-01
CUST005330,113288,2024-10-04,2026-05-13
CUST005343,28477,2024-12-29,2026-03-04
CUST005348,38810,2023-04-26,2024-09-08
CUST005354,188889,2023-05-11,2024-05-11
CUST005355,198373,2024-12-11,2026-04-07
CUST005356,14809,2023-08-30,2024-09-08
CUST005382,16951,2024-04-03,2025-04-20
CUST005396,175443,2023-12-12,2025-01-11
CUST005408,119953,2024-10-23,2026-01-07
CUST005435,100706,2024-06-02,2025-08-16
CUST005443,102309,2024-06-09,2025-06-24
CUST005455,25763,2024-08-06,2025-09-07
CUST005478,97088,2023-09-24,2024-07-27
CUST005481,199072,2024-10-08,2025-09-01
CUST005508,169780,2023-10-11,2025-06-01
CUST005541,94513,2023-10-15,2025-05-28
CUST005550,64289,2024-03-01,2025-08-21
CUST005573,27883,2024-04-15,2025-08-20
CUST005576,33152,2024-01-25,2024-11-22
CUST005579,50989,2023-11-02,2025-05-19
CUST005581,58983,2024-09-19,2026-02-28
CUST005588,43221,2023-08-05,2024-11-02
CUST005599,174219,2023-06-12,2024-05-02
CUST005606,146933,2023-08-30,2024-09-22
CUST005609,113181,2023-11-04,2025-05-31
CUST005615,147003,2024-04-26,2025-09-04
CUST005621,27951,2024-07-30,2026-03-09
CUST005627,33697,2024-09-10,2025-12-12
CUST005661,50483,2023-11-23,2024-12-23
CUST005685,63560,2024-08-09,2025-09-30
CUST005689,33223,2024-11-12,2025-09-17
CUST005697,105984,2024-08-09,2025-12-26
CUST005721,181062,2024-05-20,2025-05-18
CUST005734,32775,2024-05-10,2025-03-20
CUST005739,101372,2024-11-30,2026-04-26
CUST005745,44067,2024-08-24,2026-03-03
CUST005759,164098,2023-09-14,2024-12-09
CUST005764,48785,2023-11-15,2024-09-14
CUST005776,108885,2023-08-06,2025-01-15
CUST005788,169022,2024-09-23,2026-02-10
CUST005807,138844,2024-10-12,2025-12-10
CUST005808,25999,2024-05-01,2025-05-26
CUST005815,32817,2023-09-19,2025-02-10
CUST005819,25628,2024-03-14,2025-02-14
CUST005822,110478,2024-01-10,2024-12-11
CUST005832,27986,2024-02-24,2025-08-14
CUST005860,144679,2024-07-22,2025-05-30
CUST005886,22477,2024-09-08,2025-10-06
CUST005892,170934,2024-11-03,2026-05-06
CUST005898,128305,2024-07-15,2025-10-28
CUST005899,166170,2023-11-23,2025-04-01
CUST005900,62729,2024-09-14,2026-01-10
CUST005914,177552,2024-03-21,2025-04-14
CUST005923,92758,2024-12-28,2026-07-01
CUST005971,38967,2023-11-18,2025-06-17
CUST005972,67035,2023-06-30,2024-10-02
CUST005977,175022,2024-01-04,2025-08-08
CUST005981,28008,2023-06-04,2024-05-13
CUST005986,64557,2023-08-19,2024-12-24
CUST005993,76423,2024-06-09,2025-05-08
CUST005997,68754,2023-06-26,2025-02-11
CUST006011,64421,2024-03-26,2025-04-27
CUST006012,126590,2024-02-16,2025-07-14
CUST006019,164100,2024-05-24,2025-09-30
CUST006035,96016,2024-02-15,2024-12-21
CUST006038,84004,2023-08-16,2024-11-15
CUST006048,76042,2024-09-30,2025-08-26
CUST006049,40717,2024-09-13,2026-05-03
CUST006050,23591,2023-05-22,2024-08-09
CUST006075,34318,2023-05-16,2024-05-09
CUST006082,59627,2023-10-20,2024-11-28
CUST006087,174585,2023-07-02,2024-09-27
CUST006092,178207,2023-12-18,2024-10-28
CUST006093,179709,2024-07-01,2025-11-03
CUST006095,120889,2023-07-14,2025-03-01
CUST006099,173949,2024-04-08,2025-02-15
CUST006101,140714,2023-07-13,2025-02-06
CUST006104,150970,2023-04-16,2024-09-24
CUST006107,89012,2024-08-28,2025-08-20
CUST006111,132080,2024-05-27,2025-06-03
CUST006113,181328,2024-05-19,2025-09-02
CUST006127,28195,2023-07-24,2024-09-03
CUST006133,108210,2024-05-17,2025-09-10
CUST006137,178903,2023-04-25,2024-03-16
CUST006156,23583,2024-03-04,2025-10-20
CUST006159,123979,2023-11-25,2025-02-15
CUST006181,71810,2024-12-20,2025-11-20
CUST006189,80344,2023-06-07,2024-11-07
CUST006221,173228,2024-02-27,2025-07-06
CUST006232,126760,2024-09-25,2025-08-01
CUST006234,124788,2023-08-04,2025-03-17
CUST006252,16183,2023-12-12,2025-01-29
CUST006253,35991,2023-06-10,2024-08-19
CUST006262,11117,2024-09-01,2025-07-18
CUST006274,34887,2023-05-01,2024-11-14
CUST006279,62569,2024-09-24,2025-09-03
CUST006284,46156,2023-12-27,2025-08-02
CUST006286,37440,2023-12-08,2025-01-24
CUST006291,106859,2024-07-13,2025-07-05
CUST006293,14670,2024-11-13,2025-09-19
CUST006294,138572,2023-09-21,2024-09-11
CUST006307,175218,2024-12-22,2025-11-08
CUST006310,116497,2023-06-29,2024-05-09
CUST006321,178153,2023-12-29,2025-06-12
CUST006328,77560,2023-09-13,2024-11-25
CUST006349,153374,2023-09-30,2024-10-09
CUST006351,25260,2024-10-13,2026-04-27
CUST006357,192722,2024-06-06,2025-09-10
CUST006365,139338,2023-04-10,2024-04-23
CUST006372,129717,2024-11-06,2026-03-04
CUST006390,32055,2024-12-23,2025-10-29
CUST006410,36589,2023-05-24,2024-12-12
CUST006411,79105,2023-05-09,2024-12-10
CUST006423,127876,2024-11-07,2025-12-19
CUST006433,112058,2023-11-21,2024-12-11
CUST006439,84912,2024-01-19,2025-07-07
CUST006449,18693,2024-09-01,2026-03-21
CUST006493,130498,2024-10-14,2025-12-27
CUST006498,52749,2023-10-07,2025-01-31
CUST006504,84802,2024-08-07,2026-01-15
CUST006512,191503,2024-10-02,2025-12-03
CUST006514,105882,2023-10-10,2024-09-20
CUST006517,184776,2024-06-17,2025-06-25
CUST006521,182271,2023-09-14,2025-04-08
CUST006523,131901,2024-06-07,2025-04-19
CUST006526,118165,2024-09-08,2025-08-22
CUST006554,123491,2024-04-28,2025-10-27
CUST006560,181370,2023-12-14,2025-01-06
CUST006561,193973,2023-06-05,2024-10-10
CUST006566,161982,2024-05-20,2025-08-07
CUST006581,78554,2023-10-06,2024-11-13
CUST006603,78191,2024-04-24,2025-12-14
