Customer_ID,APR,Loan_Approval_Month
W000122,40,Mar-25
W000123,33.71,Dec-24
W000124,38.72,May-24
W000125,21.13,Nov-24
W000126,24.18,Feb-25
W000127,30.68,Nov-24
W000128,25.67,Aug-24
W000129,36.26,Jul-24
W000130,31.63,Dec-24
W000131,22.12,Jul-24
W000132,39.12,Mar-25
W000133,18.67,Jan-25
W000134,20.2,Jul-24
W000135,36.12,Jun-24
W000136,38.51,Jan-25
W000137,33.92,Mar-25
W000138,24.25,Jun-24
W000139,35.04,Jun-24
W000140,35.91,Feb-25
W000141,35.52,Oct-24
W000142,26.16,Aug-24
W000143,29.59,Dec-24
W000144,38.84,May-24
W000145,32.69,Jul-24
W000146,20.02,May-24
W000147,18.39,Feb-25
W000148,39.97,Nov-24
W000149,25.16,Jul-24
W000150,38.41,Apr-24
W000151,27.19,Jan-25
W000152,38.49,Jun-24
W000153,39.1,Mar-25
W000154,30.41,Oct-24
W000155,31.87,Mar-25
W000156,20.06,Jun-24
W000157,18.79,Aug-24
W000158,26.78,May-24
W000159,18.35,Nov-24
W000160,39.77,Jul-24
W000161,30.22,Apr-24
W000162,29.39,Mar-25
W000163,38.5,Jul-24
W000164,32.04,Nov-24
W000165,24.53,Dec-24
W000166,32.1,Apr-24
W000167,39.84,Sep-24
W000168,29.4,Jul-24
W000169,36.79,Feb-25
W000170,35.98,Nov-24
W000171,25.27,Apr-24
W000172,37.89,Aug-24
W000173,29.26,Apr-24
W000174,38.5,Jul-24
W000175,22.83,Mar-25
W000176,32.49,May-24
W000177,25.48,Jan-25
W000178,36.73,Dec-24
W000179,33.44,May-24
W000180,28.1,Jul-24
W000181,37.55,Jun-24
W000182,26.3,Apr-24
W000183,22.32,Mar-25
W000184,24.05,Apr-24
W000185,39.95,May-24
W000186,39.39,Nov-24
W000187,21.29,May-24
W000188,37.16,Apr-24
W000189,31.53,Sep-24
W000190,30.91,Apr-24
W000191,22.73,Jan-25
W000192,22.39,Dec-24
W000193,37.89,Sep-24
W000194,30.03,Jan-25
W000195,27.64,Sep-24
W000196,21.2,Apr-24
W000197,28.93,Oct-24
W000198,33.34,Jun-24
W000199,37.04,Apr-24
W000200,24.95,Dec-24
W000201,39.18,Nov-24
W000202,20.3,Jul-24
W000203,35.26,Jun-24
W000204,22.73,May-24
W000205,39.17,May-24
W000206,23.02,Feb-25
W000207,32.82,Jun-24
W000208,35.81,Apr-24
W000209,38.13,Mar-25
W000210,20.11,Jan-25
W000211,24.1,Oct-24
W000212,31.54,May-24
W000213,23.93,Mar-25
W000214,23.13,Sep-24
W000215,25.43,Mar-25
W000216,24.39,Sep-24
W000217,34.2,Feb-25
W000218,25.33,Jul-24
W000219,38.35,Jul-24
W000220,33.69,Apr-24
W000221,26.69,Feb-25
W000222,27.89,Sep-24
W000223,39.51,Nov-24
W000224,23.39,Jan-25
W000225,33.9,Jul-24
W000226,32.38,Apr-24
W000227,28.14,Jul-24
W000228,25.9,May-24
W000229,25.38,Jul-24
W000230,32.96,Nov-24
W000231,20.35,Jun-24
W000232,37.67,Mar-25
W000233,26.34,Aug-24
W000234,31.72,Jan-25
W000235,33.19,Feb-25
W000236,29.97,May-24
W000237,22.39,Dec-24
W000238,37.8,Jun-24
W000239,30.85,Apr-24
W000240,30.57,Oct-24
W000241,38.96,Feb-25
W000242,35.54,Aug-24
W000243,23.71,Dec-24
W000244,29.47,Jun-24
W000245,23.18,Feb-25
W000246,29.78,Apr-24
W000247,38.6,Oct-24
W000248,29.08,Nov-24
W000249,34.94,Feb-25
W000250,29.78,May-24
W000251,36.32,May-24
W000252,20.44,Dec-24
W000253,27.76,Jul-24
W000254,29.45,Apr-24
W000255,36.2,Dec-24
W000256,36.27,Dec-24
W000257,39.69,Sep-24
W000258,32.13,Sep-24
W000259,24.19,Dec-24
W000260,20.29,May-24
W000261,24.1,Dec-24
W000262,25.96,Jul-24
W000263,20.38,Jul-24
W000264,36.08,Dec-24
W000265,21.93,Oct-24
W000266,23.32,Mar-25
W000267,28.87,Jan-25
W000268,20.22,Mar-25
W000269,31.69,Aug-24
W000270,32.23,Nov-24
W000271,21.84,Mar-25
W000272,25.81,Apr-24
W000273,21.65,Oct-24
W000274,34.04,Jul-24
W000275,18.86,May-24
W000276,32.56,May-24
W000277,19.08,Feb-25
W000278,39.24,Mar-25
W000279,31.88,Dec-24
W000280,35.08,Sep-24
W000281,21.56,Feb-25
W000282,37.9,Jul-24
W000283,22.16,May-24
W000284,18.51,Oct-24
W000285,25.32,Dec-24
W000286,30.92,May-24
W000287,26.46,Jul-24
W000288,32.44,Apr-24
W000289,34.92,Apr-24
W000290,24.51,Jun-24
W000291,37.55,Apr-24
W000292,24.77,Jul-24
W000293,18.28,Sep-24
W000294,28.05,Aug-24
W000295,18.01,Dec-24
W000296,35.96,Mar-25
W000297,22.77,Feb-25
W000298,18.72,May-24
W000299,23.36,May-24
W000300,23.94,Mar-25
W000301,25.63,Jun-24
W000302,22.1,Jul-24
W000303,34.12,Dec-24
W000304,22.13,Feb-25
W000305,29.81,Sep-24
W000306,35.33,Dec-24
W000307,29.85,Aug-24
W000308,39.01,Dec-24
W000309,26.16,Dec-24
W000310,19.25,Apr-24
W000311,29.65,Dec-24
W000312,21.76,Oct-24
W000313,18.07,Feb-25
W000314,35.7,Nov-24
W000315,33.31,Jun-24
W000316,24.69,Apr-24
W000317,24.68,Jul-24
W000318,37.55,Apr-24
W000319,23.33,Apr-24
W000320,22.65,Jul-24
W000321,39.98,Nov-24
W000322,31.94,Mar-25
W000323,39.48,Apr-24
W000324,26.04,Jan-25
W000325,35.04,Jan-25
W000326,24.92,Mar-25
W000327,18.29,Dec-24
W000328,39.55,Sep-24
W000329,22.81,Aug-24
W000330,29.35,Dec-24
W000331,22.63,Dec-24
W000332,20.11,Dec-24
W000333,25.01,Mar-25
W000334,26.46,Jun-24
W000335,19.08,Mar-25
W000336,37.27,Mar-25
W000337,18.44,Nov-24
W000338,34.59,Jan-25
W000339,19.21,Jul-24
W000340,33.61,Jul-24
W000341,32.26,Mar-25
W000342,33.71,Oct-24
W000343,28.68,Nov-24
W000344,30.3,Jul-24
W000345,29.2,Feb-25
W000346,30.97,Jan-25
W000347,24.85,Sep-24
W000348,39.18,Apr-24
W000349,27.83,May-24
W000350,36.59,Mar-25
W000351,38.84,Aug-24
W000352,38.65,Jul-24
W000353,28.98,Jun-24
W000354,18.21,Feb-25
W000355,32.51,Sep-24
W000356,23.66,Jan-25
W000357,23.24,Sep-24
W000358,30.7,Feb-25
W000359,34.5,Jan-25
W000360,20.66,Nov-24
W000361,35.78,May-24
W000362,27.66,Oct-24
W000363,39.59,Oct-24
W000364,19.78,May-24
W000365,24.18,Sep-24
W000366,22.74,Aug-24
W000367,24.42,May-24
W000368,35.18,Dec-24
W000369,19.26,Nov-24
W000370,24.58,Oct-24
W000371,39.13,Sep-24
W000372,23.48,Aug-24
W000373,27.95,Dec-24
W000374,34.19,Aug-24
W000375,26.57,Sep-24
W000376,38,Jun-24
W000377,33.61,Dec-24
W000378,35.8,Feb-25
W000379,35.86,Nov-24
W000380,25.94,Dec-24
W000381,38.43,Apr-24
W000382,24.6,Apr-24
W000383,37.76,May-24
W000384,38.13,Jul-24
W000385,27.03,Jan-25
W000386,29.61,Aug-24
W000387,22.59,Oct-24
W000388,22.24,Jul-24
W000389,25.43,Apr-24
W000390,30.67,Nov-24
W000391,39.47,Feb-25
W000392,37.43,Jun-24
W000393,38.1,Dec-24
W000394,27.7,May-24
W000395,23.36,Feb-25
W000396,32.72,Apr-24
W000397,37.1,Jan-25
W000398,35.38,Nov-24
W000399,25.77,Jun-24
W000400,28.96,Apr-24
W000401,20.9,Feb-25
W000402,23.17,Jun-24
W000403,24.39,Nov-24
W000404,38.16,Feb-25
W000405,25.59,Jul-24
W000406,27,Jan-25
W000407,19.57,Feb-25
W000408,31.33,Oct-24
W000409,24.06,Nov-24
W000410,34.15,Oct-24
W000411,26.82,Apr-24
W000412,38.83,Jul-24
W000413,21.21,Jan-25
W000414,30.64,Dec-24
W000415,18.44,Oct-24
W000416,29.16,Mar-25
W000417,28.56,Apr-24
W000418,29.96,Nov-24
W000419,27.47,Jul-24
W000420,26.5,Mar-25
W000421,18.6,Oct-24
W000422,21.02,Sep-24
W000423,32.96,Oct-24
W000424,26.69,Jan-25
W000425,29.49,Jan-25
W000426,20.26,Apr-24
W000427,30.38,Mar-25
W000428,23.18,Sep-24
W000429,26.72,Mar-25
W000430,30.81,Jun-24
W000431,22.16,Jan-25
W000432,24.11,Jul-24
W000433,23.64,Apr-24
W000434,35.1,Jan-25
W000435,22.94,Nov-24
W000436,22.29,May-24
W000437,37.12,Jun-24
W000438,20.3,Oct-24
W000439,35.68,May-24
W000440,23.06,Mar-25
W000441,32.57,Jul-24
W000442,28.58,Mar-25
W000443,28.18,Oct-24
W000444,27.51,Mar-25
W000445,23.35,Jun-24
W000446,24.28,May-24
W000447,37.01,Nov-24
W000448,29.2,May-24
W000449,37.17,Jan-25
W000450,24.92,Oct-24
W000451,20.65,Feb-25
W000452,32.99,Jun-24
W000453,36.28,Jul-24
W000454,34.65,Sep-24
W000455,25.62,Feb-25
W000456,34.23,Jun-24
W000457,37.98,Apr-24
W000458,34.44,Mar-25
W000459,29.79,Nov-24
W000460,23.44,Jul-24
W000461,31.79,Apr-24
W000462,29,May-24
W000463,39.83,Sep-24
W000464,26.64,Apr-24
W000465,27.38,Dec-24
W000466,30.99,Oct-24
W000467,35.38,Nov-24
W000468,29.38,Nov-24
W000469,32.27,Sep-24
W000470,29.29,Nov-24
W000471,23.91,Oct-24
W000472,36.17,Apr-24
W000473,30.66,Jun-24
W000474,27.58,Dec-24
W000475,23.78,Nov-24
W000476,33.75,Aug-24
W000477,19.71,Apr-24
W000478,27.83,May-24
W000479,37.23,Jan-25
W000480,38.29,Jan-25
W000481,19.58,Dec-24
W000482,22.07,Mar-25
W000483,39.29,Jan-25
W000484,29.75,Nov-24
W000485,18.01,Dec-24
W000486,20.4,May-24
W000487,19.6,Jun-24
W000488,36.59,Jun-24
W000489,39.76,Apr-24
W000490,26.44,May-24
W000491,18.39,Jan-25
W000492,25.18,Aug-24
W000493,24.26,Oct-24
W000494,37.71,Sep-24
W000495,32.99,May-24
W000496,29.2,Nov-24
W000497,37.41,Jul-24
W000498,26.52,Feb-25
W000499,39.13,May-24
W000500,27.59,Jul-24
W000501,18.79,Nov-24
W000502,25.41,Apr-24
W000503,31.65,Feb-25
W000504,23.16,Dec-24
W000505,18.88,Nov-24
W000506,23.22,Nov-24
W000507,18.6,Jan-25
W000508,18.82,Dec-24
W000509,28.45,Oct-24
W000510,22.35,Feb-25
W000511,31.11,Dec-24
W000512,19.35,Apr-24
W000513,29.72,Apr-24
W000514,39.65,Mar-25
W000515,33.04,Jul-24
W000516,26.15,May-24
W000517,21.97,Nov-24
W000518,38.01,Apr-24
W000519,36.02,Jul-24
W000520,39.52,Feb-25
W000521,18.64,Feb-25
W000522,25.69,Dec-24
W000523,27.22,May-24
W000524,23.03,Sep-24
W000525,34.15,Jul-24
W000526,36.86,Mar-25
W000527,23.92,Jul-24
W000528,37.17,Sep-24
W000529,29.73,Jan-25
W000530,33.35,Jul-24
W000531,35.98,Dec-24
W000532,37.3,Mar-25
W000533,28.26,Mar-25
W000534,33.54,Nov-24
W000535,30.58,Nov-24
W000536,21.99,Aug-24
W000537,35.44,Sep-24
W000538,20.7,Apr-24
W000539,33.32,Apr-24
W000540,18.97,Dec-24
W000541,33.97,Mar-25
W000542,30.45,Jul-24
W000543,21.18,Jun-24
W000544,19.74,Aug-24
W000545,18.46,Dec-24
W000546,32.6,Dec-24
W000547,27.47,Jun-24
W000548,31.52,Mar-25
W000549,26.91,Oct-24
W000550,39.27,Jun-24
W000551,28.42,Jun-24
W000552,30.18,Jul-24
W000553,24.23,May-24
W000554,21.89,Sep-24
W000555,26.74,Aug-24
W000556,26.36,Jan-25
W000557,26.34,Jan-25
W000558,36.59,May-24
W000559,20.27,Mar-25
W000560,19.22,Jan-25
W000561,31.81,May-24
W000562,20.45,May-24
W000563,23.87,Jul-24
W000564,18.29,Jun-24
W000565,25.01,Dec-24
W000566,31.18,Aug-24
W000567,20.35,Mar-25
W000568,21.67,Apr-24
W000569,30.93,May-24
W000570,35.43,Oct-24
W000571,22.03,Nov-24
W000572,25.2,Sep-24
W000573,38.7,Oct-24
W000574,29.25,May-24
W000575,30.65,Mar-25
W000576,24.73,Sep-24
W000577,30,Mar-25
W000578,23.2,Sep-24
W000579,25.04,Jul-24
W000580,28.64,Feb-25
W000581,22.16,Jul-24
W000582,36.15,May-24
W000583,30.44,Jun-24
W000584,36.96,Jan-25
W000585,38.52,Sep-24
W000586,38.59,Jul-24
W000587,31.14,Jun-24
W000588,23.67,Apr-24
W000589,34.46,Mar-25
W000590,29.72,Feb-25
W000591,37.2,Feb-25
W000592,18.6,Feb-25
W000593,33.45,Jun-24
W000594,23.09,Apr-24
W000595,23.43,Jul-24
W000596,29.28,Mar-25
W000597,29.35,Jul-24
W000598,33.87,Feb-25
W000599,18.87,Mar-25
W000600,28.18,Apr-24
W000601,37.99,Oct-24
W000602,19.98,Aug-24
W000603,27.91,Apr-24
W000604,25.35,Aug-24
W000605,20.42,Mar-25
W000606,36.65,Oct-24
W000607,27.62,Sep-24
W000608,34.58,Jan-25
W000609,19.72,Aug-24
W000610,24.87,Nov-24
W000611,32.19,Dec-24
W000612,30.86,Apr-24
W000613,37.57,Sep-24
W000614,31.87,May-24
W000615,27.64,Nov-24
W000616,23.08,Aug-24
W000617,31.98,Apr-24
W000618,28.22,Aug-24
W000619,19.05,Jan-25
W000620,25.27,Aug-24
W000621,24.18,May-24
W000622,31.31,Jul-24
W000623,18.79,Sep-24
W000624,27.03,Apr-24
W000625,37.62,Feb-25
W000626,31,Dec-24
W000627,23.08,Oct-24
W000628,18.12,Sep-24
W000629,28.92,Apr-24
W000630,27.91,Nov-24
W000631,34.54,Nov-24
W000632,30.63,Jul-24
W000633,20.64,Jul-24
W000634,33.52,Apr-24
W000635,29.71,Dec-24
W000636,24.43,Nov-24
W000637,37.94,Jan-25
W000638,32.07,Oct-24
W000639,26.81,May-24
W000640,31.14,Oct-24
W000641,25.45,Jul-24
W000642,18.79,Jun-24
W000643,28.79,Feb-25
W000644,36.14,Mar-25
W000645,19.74,Jan-25
W000646,34.78,Jul-24
W000647,36.76,Jan-25
W000648,36.84,Sep-24
W000649,24.41,Oct-24
W000650,23.39,May-24
W000651,30.76,Oct-24
W000652,29.46,Jan-25
W000653,39.06,May-24
W000654,35.41,Feb-25
W000655,27.78,May-24
W000656,32.13,Apr-24
W000657,24.81,Feb-25
W000658,23.34,Oct-24
W000659,24.64,Apr-24
W000660,27,Jun-24
W000661,22.98,Feb-25
W000662,20.08,Nov-24
W000663,28.56,Apr-24
W000664,31.46,Mar-25
W000665,29.83,Sep-24
W000666,35.63,Mar-25
W000667,30.07,May-24
W000668,32.02,Dec-24
W000669,28.32,May-24
W000670,29.16,Sep-24
W000671,35.53,Jul-24
W000672,33.28,Dec-24
W000673,30.76,Apr-24
W000674,33.24,Apr-24
W000675,21.3,Jan-25
W000676,31.74,Jun-24
W000677,21.25,Feb-25
W000678,24.36,Sep-24
W000679,36.02,Jun-24
W000680,30.69,Oct-24
W000681,30.24,Dec-24
W000682,32.35,Mar-25
W000683,29.24,Jan-25
W000684,26.22,May-24
W000685,18.76,Jul-24
W000686,37.55,Jun-24
W000687,42.37,Sep-24
W000688,24.61,Aug-24
W000689,30.87,Mar-25
W000690,19.24,Jun-24
W000691,28.92,Dec-24
W000692,38.36,Mar-25
W000693,32.93,Nov-24
W000694,29.14,Jun-24
W000695,32.71,Jan-25
W000696,22.04,Aug-24
W000697,38.97,Aug-24
W000698,22.23,Aug-24
W000699,36.54,Nov-24
W000700,23.49,Jun-24
W000701,30.62,Jun-24
W000702,32.9,Nov-24
W000703,32.07,Dec-24
W000704,29.24,Aug-24
W000705,35.88,Jan-25
W000706,24.96,Nov-24
W000707,29.7,Aug-24
W000708,33.98,Mar-25
W000709,33.1,Jul-24
W000710,19.7,May-24
W000711,39.07,Feb-25
W000712,27.78,Jul-24
W000713,32.11,May-24
W000714,37.1,Oct-24
W000715,26.5,Oct-24
W000716,25.58,Dec-24
W000717,25.82,Mar-25
W000718,37.36,Jul-24
W000719,19.45,Aug-24
W000720,19.13,Feb-25
W000721,21.53,Jul-24
W000722,36.83,Jul-24
W000723,30.03,Aug-24
W000724,20.71,Jun-24
W000725,19.18,Dec-24
W000726,32.44,Oct-24
W000727,24.83,Apr-24
W000728,29.43,Apr-24
W000729,35.8,Apr-24
W000730,33.17,Jun-24
W000731,42.95,Dec-24
W000732,35.96,Nov-24
W000733,39.56,Dec-24
W000734,35.6,Aug-24
W000735,21.9,Oct-24
W000736,35.11,Jan-25
W000737,19.5,Dec-24
W000738,29.31,Aug-24
W000739,27.4,Nov-24
W000740,27.91,Nov-24
W000741,32.05,Jun-24
W000742,30.28,Aug-24
W000743,26.22,Nov-24
W000744,27.64,Jan-25
W000745,33.72,Jun-24
W000746,29.69,Jun-24
W000747,29.9,Sep-24
W000748,34.59,Oct-24
W000749,31.35,Oct-24
W000750,39.12,Sep-24
W000751,31.8,Oct-24
W000752,22.17,Oct-24
W000753,25.89,Jul-24
W000754,33.1,Nov-24
W000755,34.11,Nov-24
W000756,23.97,May-24
W000757,39.54,Jan-25
W000758,35.66,Aug-24
W000759,20.19,May-24
W000760,19.66,Jun-24
W000761,38.28,Jun-24
W000762,31.37,Aug-24
W000763,30.14,Nov-24
W000764,31.5,Jun-24
W000765,38.56,Oct-24
W000766,37.18,Aug-24
W000767,34.01,Mar-25
W000768,21.62,Jan-25
W000769,19.42,Jan-25
W000770,21.03,Jan-25
W000771,35.21,Jul-24
W000772,25.51,May-24
W000773,21.3,Sep-24
W000774,22.88,Jul-24
W000775,38.74,Jul-24
W000776,23.91,Aug-24
W000777,26.3,Dec-24
W000778,34.08,Apr-24
W000779,27.51,Aug-24
W000780,34.27,Aug-24
W000781,19,May-24
W000782,32.97,Jun-24
W000783,18.79,Jul-24
W000784,19.11,Apr-24
W000785,36.92,Jan-25
W000786,26.8,Jun-24
W000787,22.9,Apr-24
W000788,38.58,Apr-24
W000789,30.8,Dec-24
W000790,19.67,Jul-24
W000791,37.97,Jul-24
W000792,33.96,Jul-24
W000793,37.51,Feb-25
W000794,29.72,Dec-24
W000795,37.67,Feb-25
W000796,34.8,Mar-25
W000797,18.57,Nov-24
W000798,32.5,Jul-24
W000799,26.14,Mar-25
W000800,31.6,Sep-24
W000801,23.22,May-24
W000802,27.66,Sep-24
W000803,30.72,Apr-24
W000804,34.77,Aug-24
W000805,37.9,Nov-24
W000806,29.68,Apr-24
W000807,28.79,Feb-25
W000808,28.73,May-24
W000809,33.71,Jun-24
W000810,24.54,Oct-24
W000811,37.97,Mar-25
W000812,39.24,Nov-24
W000813,38.73,Jul-24
W000814,27.36,Nov-24
W000815,37.19,Apr-24
W000816,23.67,Jun-24
W000817,19.4,Jul-24
W000818,29.7,Aug-24
W000819,39.7,Feb-25
W000820,28.37,Dec-24
W000821,20.95,May-24
W000822,39.22,Oct-24
W000823,27.05,Jun-24
W000824,37.08,Mar-25
W000825,36.83,Jan-25
W000826,26.9,May-24
W000827,34.39,Dec-24
W000828,21.52,Jun-24
W000829,19.75,Nov-24
W000830,39.29,Apr-24
W000831,19.3,Aug-24
W000832,32.33,Aug-24
W000833,37.43,Sep-24
W000834,28.97,Oct-24
W000835,22.6,Jun-24
W000836,26.97,Mar-25
W000837,34.64,Aug-24
W000838,21.64,Mar-25
W000839,20.35,Nov-24
W000840,25.97,Sep-24
W000841,22.39,May-24
W000842,20.82,Oct-24
W000843,34.57,Jun-24
W000844,22.83,Jan-25
W000845,34.83,Dec-24
W000846,19.23,Jul-24
W000847,23.84,Feb-25
W000848,36.1,Jul-24
W000849,31.25,Jul-24
W000850,21.12,Jan-25
W000851,26.46,Jan-25
W000852,39.8,Nov-24
W000853,36.32,Apr-24
W000854,25.71,Jun-24
W000855,35.35,Nov-24
W000856,31.81,Mar-25
W000857,29.02,Oct-24
W000858,21.61,Sep-24
W000859,38.66,Oct-24
W000860,38.25,Apr-24
W000861,36.29,Nov-24
W000862,27.87,Jul-24
W000863,32.6,Apr-24
W000864,35.33,Jul-24
W000865,32.93,May-24
W000866,22.3,Aug-24
W000867,39.23,Apr-24
W000868,31.13,Apr-24
W000869,32.17,Aug-24
W000870,36.1,May-24
W000871,34.52,Dec-24
W000872,27.29,Jan-25
W000873,18.44,Oct-24
W000874,31.87,Jul-24
W000875,26.54,Oct-24
W000876,23.79,Nov-24
W000877,24.46,Nov-24
W000878,24.63,Nov-24
W000879,32.57,Mar-25
W000880,32.38,Aug-24
W000881,22.83,Oct-24
W000882,32.53,Feb-25
W000883,35.68,Oct-24
W000884,38.13,May-24
W000885,38.16,Jun-24
W000886,32.77,Feb-25
W000887,30.6,May-24
W000888,28.55,Jun-24
W000889,25.87,Dec-24
W000890,38.74,Oct-24
W000891,19.68,Jul-24
W000892,39.66,Nov-24
W000893,38.58,Oct-24
W000894,18.86,Jan-25
W000895,35.82,Sep-24
W000896,37.67,Jul-24
W000897,19.24,Aug-24
W000898,31.39,Jan-25
W000899,38.38,Nov-24
W000900,26.83,Jun-24
W000901,19.43,Feb-25
W000902,34.14,Mar-25
W000903,38.32,Jun-24
W000904,19.94,Aug-24
W000905,26.86,Dec-24
W000906,24.54,Aug-24
W000907,29.41,Apr-24
W000908,36.72,Aug-24
W000909,19.22,Dec-24
W000910,30.78,Oct-24
W000911,26.57,Dec-24
W000912,38.12,Jan-25
W000913,35.4,Jan-25
W000914,37.56,Aug-24
W000915,24.71,Jun-24
W000916,38.47,May-24
W000917,22.5,Dec-24
W000918,37.4,Aug-24
W000919,38.01,Feb-25
W000920,27.67,Apr-24
W000921,28.74,May-24
W000922,33.72,May-24
W000923,37.3,Mar-25
W000924,35.79,Jul-24
W000925,32.43,Sep-24
W000926,38.51,Nov-24
W000927,38.53,Jun-24
W000928,21.5,Jan-25
W000929,39,Jan-25
W000930,38.9,Sep-24
W000931,30.48,Jul-24
W000932,30.53,Nov-24
W000933,19.37,Dec-24
W000934,26.94,Dec-24
W000935,43.96,Mar-25
W000936,26.76,Sep-24
W000937,21.15,May-24
W000938,40.43,May-24
W000939,29.2,Jan-25
W000940,35.41,Dec-24
W000941,33.46,Aug-24
W000942,32.68,Oct-24
W000943,35.53,Sep-24
W000944,36.19,Dec-24
W000945,19.02,Aug-24
W000946,21.75,Nov-24
W000947,38.55,Jul-24
W000948,29.92,Oct-24
W000949,27.5,Dec-24
W000950,35.49,May-24
W000951,36.44,Dec-24
W000952,34.13,Mar-25
W000953,19.77,Nov-24
W000954,29.91,Jan-25
W000955,29.13,Apr-24
W000956,19.94,Jan-25
W000957,34.53,Oct-24
W000958,28.84,Mar-25
W000959,36.91,Aug-24
W000960,35.27,Aug-24
W000961,34.65,Oct-24
W000962,26.11,Feb-25
W000963,38,Jan-25
W000964,29.16,Jul-24
W000965,29.78,Apr-24
W000966,33.63,Sep-24
W000967,30.21,Apr-24
W000968,33.95,Feb-25
W000969,31.22,Apr-24
W000970,22.73,Mar-25
W000971,28.14,Nov-24
W000972,32.79,Jul-24
W000973,32.72,Aug-24
W000974,38.45,Jan-25
W000975,34.27,Jan-25
W000976,20.76,Apr-24
W000977,38.71,Jan-25
W000978,34.74,Oct-24
W000979,36.49,Feb-25
W000980,27.78,May-24
W000981,37.15,Sep-24
W000982,21,Dec-24
W000983,37.55,May-24
W000984,31.18,Sep-24
W000985,39.08,Mar-25
W000986,20.45,Mar-25
W000987,26.57,Aug-24
W000988,37.67,May-24
W000989,18.35,Dec-24
W000990,18.39,May-24
W000991,21.62,Apr-24
W000992,21.7,Dec-24
W000993,24.72,Dec-24
W000994,31.37,Dec-24
W000995,24.72,Nov-24
W000996,19.9,Jul-24
W000997,23.28,Dec-24
W000998,30.4,May-24
W000999,25.81,Apr-24
W001000,18.53,Mar-25
W001001,37.49,Jan-25
W001002,29.93,Oct-24
W001003,30.37,Sep-24
W001004,20.5,Jun-24
W001005,28.12,May-24
W001006,25.29,Nov-24
W001007,27.4,Jul-24
W001008,33.2,Sep-24
W001009,28.55,Jul-24
W001010,39.2,Feb-25
W001011,22,Dec-24
